"G_i"	"G_j"
13	72
13	79
8	13
13	22
72	79
4	71
8	72
13	51
13	74
17	64
22	79
27	64
8	36
8	38
8	74
8	79
13	38
13	64
22	51
26	29
26	74
29	72
38	72
38	79
45	71
51	72
51	79
64	74
1	13
1	64
1	65
1	74
1	79
4	45
7	13
8	22
8	23
8	26
8	29
8	40
8	44
8	51
9	22
12	45
13	17
13	23
13	27
13	29
13	35
13	36
13	40
13	43
13	44
13	71
17	27
17	36
17	38
17	44
17	74
17	79
17	91
17	92
22	23
22	29
22	44
22	64
22	72
22	74
23	44
23	51
23	72
23	79
26	27
26	34
26	36
26	38
26	45
26	65
27	38
27	41
27	45
27	65
27	72
27	79
27	92
29	36
29	38
29	51
29	64
29	65
29	71
35	38
35	43
35	45
35	74
35	79
36	40
36	44
36	64
36	72
