"G_i"	"G_j"
6	54
21	40
40	41
9	53
40	53
49	53
49	54
53	54
1	69
6	34
6	41
6	65
11	48
11	49
23	71
32	79
33	58
34	55
34	65
37	79
38	41
48	71
1	22
1	65
1	71
2	97
4	6
6	11
6	16
6	29
6	33
6	38
6	53
6	55
6	58
6	97
9	38
9	40
9	44
9	69
11	12
11	21
11	33
11	34
11	38
11	39
11	40
11	41
11	52
11	54
11	58
11	71
11	74
12	32
12	34
12	39
12	48
12	49
12	71
12	79
16	34
16	65
18	32
18	40
18	41
18	53
18	92
21	41
21	53
22	38
23	54
26	33
26	34
26	40
26	41
26	58
26	73
29	34
29	54
29	55
32	37
32	38
32	74
33	34
33	37
33	40
33	41
33	54
33	55
33	73
34	39
34	40
34	41
34	48
34	49
34	58
34	71
34	73
37	38
37	74
