"Old"	"New"
G1	rrsC
G2	lrp
G3	livG
G4	yojI
G5	livJ
G6	livM
G7	sdaA
G8	livK
G9	tdh
G10	kbl
G11	livH
G12	livF
G13	lysU
G14	serC
G15	rrfA
G16	ilvI
G17	aidB
G18	rrfE
G19	alaT
G20	argO
G21	dadX
G22	dadA
G23	gltV
G24	rrsA
G25	rrsE
G26	ileT
G27	aroA
G28	rrlE
G29	ilvH
G30	rrlA
G31	fis
G32	ileV
G33	rrfH
G34	rrfG
G35	alaV
G36	rrsG
G37	gltU
G38	rrfC
G39	hns
G40	ileU
G41	rrfD
G42	alaU
G43	rrsD
G44	rrlG
G45	rrlC
G46	thrV
G47	rrsB
G48	rrfF
G49	gltT
G50	gltW
G51	rrlH
G52	rrlB
G53	rrfB
G54	rrlD
G55	rrsH
G56	chpR
G57	fimE
G58	chpA
G59	fimG
G60	fimF
G61	fimI
G62	csiD
G63	fimC
G64	fimH
G65	fimD
G66	fimA
G67	rnpB
G68	lhgO
G69	csiR
G70	gabT
G71	gabD
G72	gabP
G73	nac
G74	serA
G75	dps
G76	osmC
G77	stpA
G78	bglB
G79	bglF
G80	bglJ
G81	bglG
G82	leuO
G83	yjjQ
G84	hlyE
G85	osmY
G86	adhE
G87	hdeA
G88	yhiD
G89	gadW
G90	hdeB
G91	gadX
G92	gadA
G93	torR
G94	gadE
G95	gadC
G96	gadB
G97	hdeD
G98	cadB
G99	cadA
G100	cadC
G101	mdtF
G102	mdtE
G103	ydeO
G104	evgA
G105	gltF
G106	gltB
G107	gltD
G108	fliC
G109	gadY
G110	slp
G111	dctR
G112	marA
G113	purA
G114	micF
G115	marR
G116	marB
G117	rob
G118	inaA
G119	zwf
G120	nfo
G121	soxS
G122	ygiA
G123	tolC
G124	ygiB
G125	ygiC
G126	fumC
G127	acrB
G128	acrA
G129	acrR
G130	soxR
G131	pqiA
G132	rfaZ
G133	pqiB
G134	rfaY
G135	envR
G136	poxB
G137	fpr
G138	sodA
G139	mprA
G140	ptsG
G141	nhaR
G142	nhaA
G143	ybjN
G144	fldB
G145	nfsA
G146	ksgA
G147	trmA
G148	thrW
G149	aslB
G150	leuC
G151	chiA
G152	pdxA
G153	valT
G154	tpr
G155	asnB
G156	valU
G157	ybaS
G158	proM
G159	flxA
G160	yciF
G161	lysT
G162	glnV
G163	ybjC
G164	pheV
G165	hisR
G166	apaH
G167	pgaC
G168	thrT
G169	fldA
G170	serX
G171	leuQ
G172	glyT
G173	lon
G174	yjjP
G175	msrA
G176	leuD
G177	pgaA
G178	leuW
G179	proL
G180	yciE
G181	metT
G182	tyrV
G183	argU
G184	queA
G185	tyrT
G186	glnX
G187	gspB
G188	leuT
G189	pgaD
G190	mukE
G191	yegR
G192	proX
G193	topA
G194	pheU
G195	metU
G196	ybaT
G197	glyU
G198	leuB
G199	evgS
