G1	G2	G3	G4	G5	G6	G7	G8	G9	G10
0.6878272	0.1827837	0.3107873	0.5430329	0.1779080	0.2931166	0.4958291	0.3364282	0.5965416	0.6224349
0.7164322	0.0056289	0.1547656	0.6341396	0.0832641	0.3744547	0.5396038	0.6584835	0.7359418	0.6720290
0.6489066	0.1596270	0.1645155	0.5104621	0.0765685	0.2984815	0.4305816	0.6389790	0.7051715	0.7215454
0.7131303	0.0917307	0.3661026	0.6423518	0.1076258	0.3638162	0.6358288	0.6549397	0.7336657	0.6424994
0.6309811	0.1397534	0.3237724	0.7271825	0.1140221	0.2796417	0.2819083	0.6576709	0.5889738	0.6225067
0.6078316	0.1405766	0.4072278	0.5529855	0.1453655	0.4340740	0.5005204	0.3609853	0.7368687	0.7028376
0.7445160	0.1288578	0.3005229	0.5964009	0.1137273	0.1877378	0.5322506	0.7276666	0.7560537	0.6355685
0.5903297	0.0709065	0.3540899	0.5093805	0.0674397	0.6097691	0.3639872	0.1605244	0.7003097	0.6539357
0.8583547	0.1237949	0.2775707	0.6038519	0.0516853	0.3005688	0.8452061	0.7236344	0.7864865	0.7251666
0.7008923	0.1170290	0.2467074	0.6672325	0.0712934	0.3658144	0.5931748	0.5313025	0.6523511	0.4815665
