G1	G2	G3	G4	G5	G6	G7	G8	G9	G10
0.1636235	0.3511736	0.1950859	0.1648683	0.7892274	0.6869095	0.5649487	0.6448280	0.6400149	0.4693768
0.6074895	0.2067215	0.4755887	0.1840389	0.7116023	0.5856916	0.0342537	0.3322109	0.8614202	0.6009312
0.1525452	0.2152477	0.5752095	0.1866056	0.6388414	0.5992030	0.4138331	0.6347203	0.6697297	0.7175033
0.4690728	0.0318009	0.5446909	0.1000942	0.5674290	0.8618305	0.3678172	0.7086693	0.4451797	0.5663583
0.1787897	0.2416444	0.4271323	0.0465728	0.7428853	0.7242416	0.4323168	0.5759619	0.3611208	0.5073484
0.2972085	0.2835291	0.5808812	0.1326819	0.6442195	0.5567492	0.2935276	0.4951515	0.7221998	0.7287393
0.1726828	0.2932776	0.3997559	0.1917915	0.6282413	0.7600102	0.3370879	0.6863023	0.6282734	0.7570999
0.4494358	0.0980184	0.7902612	0.0818354	0.7417240	0.7834207	0.4072901	0.5762007	0.5054243	0.8385486
0.4946347	0.1461342	0.7597252	0.2270209	0.4910792	0.8585923	0.4771773	0.5211002	0.4671898	0.3281085
0.5435188	0.1681791	0.7266546	0.1297331	0.6344634	0.7526374	0.3559844	0.5976761	0.7923693	0.7503809
