G1	G2	G3	G4	G5	G6	G7	G8	G9	G10
0.1613137	0.4775247	0.4584674	0.4582149	0.4963007	0.0913565	0.4855841	0.7698012	0.5593268	0.5096764
0.1586122	0.2976011	0.5702699	0.5003396	0.4982684	0.2835955	0.3915961	0.7911356	0.7397496	0.7671937
0.3262338	0.2326411	0.6217875	0.4198695	0.6679200	0.2987600	0.2537133	0.8146905	0.6672208	0.7139357
0.0933716	0.4688580	0.7137707	0.7133869	0.5976614	0.3376458	0.3184282	0.8672757	0.6870387	0.8553256
0.1419257	0.4544386	0.1357929	0.4661761	0.6664733	0.0349339	0.4528131	0.6295632	0.8755228	0.7705481
0.7644603	0.3241960	0.6556520	0.2025116	0.6533997	0.2500202	0.0193557	0.0068042	0.6692244	0.7447718
0.2513690	0.8100502	0.1515542	0.7240150	0.6465552	0.0480894	0.2414059	0.6639753	0.4120291	0.5774863
0.2411462	0.4048498	0.5570547	0.4819313	0.6502290	0.1219781	0.2361756	0.6200937	0.6914302	0.7493857
0.6320107	0.2274406	0.5422538	0.2989867	0.3759604	0.3228627	0.1104113	0.2506718	0.6674347	0.7574075
0.3532281	0.5683462	0.1129746	0.6442411	0.5028081	0.0782791	0.2689114	0.8175773	0.5563783	0.5254040
