G1	G2	G3	G4	G5	G6	G7	G8	G9	G10
0.0000000	0.0058691	0.6216393	0.7538847	0.4533824	0.8248248	0.0127467	0.7424801	0.6922105	0.8977450
0.7572412	0.0000000	0.6625718	0.7670606	0.4261490	0.8601623	0.0179917	0.7782078	0.7183165	0.8252227
0.8132279	0.0297792	0.0000000	0.6772504	0.0471121	0.6851075	0.0114295	0.7009864	0.7738064	0.8404172
0.7676982	0.5827215	0.4900075	0.0000000	0.3083308	0.4379364	0.3586429	0.3291740	0.8272143	0.8438648
0.6515144	0.0010238	0.3663744	0.6887483	0.0000000	0.7590792	0.0163308	0.7929224	0.9023047	0.7940294
0.7490317	0.1405239	0.7138526	0.7524334	0.2717583	0.0000000	0.0033957	0.9343714	0.7448370	0.8839319
0.7217722	0.1603375	0.6429733	0.7767053	0.0573661	0.7177961	0.0000000	0.8072075	0.7861789	0.7578423
0.7789315	0.1223557	0.7467954	0.6318588	0.1676735	0.7054755	0.1523782	0.0000000	0.7557922	0.8152410
0.7764948	0.7039375	0.6490818	0.7276235	0.2408379	0.5633424	0.3203009	0.3822673	0.0000000	0.8180839
0.6626797	0.1575604	0.4747503	0.9050526	0.0556919	0.7186832	0.0572306	0.6233434	0.7447935	0.0000000
