G1	G2	G3	G4	G5	G6	G7	G8	G9	G10
0.7203329	0.3321731	0.6737816	0.4364258	0.1467566	0.3955376	0.2830006	0.4818570	0.4279725	0.6743780
0.7628350	0.1378074	0.7576330	0.8144498	0.0787957	0.6606582	0.1058020	0.6009576	0.6643361	0.7698160
0.7731693	0.1538271	0.7627111	0.8588066	0.1729678	0.3542020	0.1767029	0.7504940	0.7709623	0.7002441
0.6887501	0.0590088	0.5889595	0.7097164	0.0878416	0.6094812	0.0554486	0.8104923	0.6929364	0.6367167
0.4823813	0.3473583	0.6275923	0.7701591	0.1620952	0.5352708	0.3020045	0.5700270	0.5989486	0.6431447
0.8077555	0.3394968	0.6799557	0.6219901	0.2282348	0.4222682	0.2200937	0.3815729	0.7085911	0.6123320
0.6345066	0.2851937	0.6040049	0.8431837	0.2184010	0.7642875	0.1385591	0.7431806	0.7706898	0.6378250
0.6981688	0.3384697	0.8068696	0.6285156	0.2354199	0.7360335	0.0733604	0.6759336	0.6083330	0.7168980
0.5041931	0.4555989	0.7693073	0.6278200	0.3437994	0.3822703	0.2597342	0.5498022	0.7181701	0.3845112
0.6658969	0.1267441	0.8066169	0.6197382	0.0767028	0.6666200	0.1013209	0.6338214	0.5883193	0.6375481
