G1	G2	G3	G4	G5	G6	G7	G8	G9	G10
0.0000000	0.0735739	0.5543080	0.4290222	0.4127778	0.6623774	0.1570088	0.5925263	0.7720847	0.7208760
0.4106331	0.0000000	0.6553022	0.3423171	0.4720635	0.7677891	0.1616759	0.6326081	0.8170786	0.7539519
0.2548634	0.6797553	0.0000000	0.6735705	0.8065608	0.1436519	0.3318302	0.7791859	0.6718566	0.6874276
0.4745787	0.2946410	0.4736000	0.0000000	0.5464444	0.2659466	0.1709235	0.5768307	0.6654592	0.7307854
0.1370422	0.2746641	0.4828831	0.6594281	0.0000000	0.3709004	0.5433843	0.6948905	0.7503753	0.7754164
0.1088195	0.5166785	0.0134141	0.7761775	0.6885894	0.0000000	0.5086149	0.7260344	0.6969446	0.6228568
0.7939521	0.3900503	0.4370442	0.2543148	0.6579162	0.3201703	0.0000000	0.0265424	0.6853627	0.8325943
0.4028573	0.2464976	0.5284085	0.3285356	0.6503460	0.2557460	0.1916183	0.0000000	0.7729884	0.6777173
0.6691359	0.3073492	0.4266747	0.1998911	0.5343462	0.2260156	0.0614022	0.0905802	0.0000000	0.7481371
0.7038489	0.4799578	0.4179244	0.3342110	0.5875178	0.2739371	0.0523641	0.0421552	0.7406510	0.0000000
