"Time"	G1	G2	G3	G4	G5	G6	G7	G8	G9	G10

0	0.6593400	0.1829310	0.6565487	0.6403090	0.1089210	0.5864427	0.0890828	0.7163264	0.7832814	0.7939958
50	0.7611633	0.0996740	0.7178480	0.4594139	0.2836128	0.6874870	0.0233132	0.7725164	0.7986338	0.3102073
100	0.7171452	0.2513721	0.6577826	0.3541183	0.3286248	0.5660444	0.0307652	0.7407726	0.7437861	0.2162050
150	0.8414000	0.3852249	0.7666040	0.2683811	0.3112692	0.5085956	0.1053893	0.7064928	0.7616179	0.1720759
200	0.8232216	0.3899259	0.6580160	0.2741591	0.2181845	0.4997829	0.2019550	0.6602616	0.9224331	0.2502304
250	0.8526111	0.2630526	0.5625021	0.2090656	0.1393494	0.4438674	0.2353125	0.6170660	0.8061554	0.1793292
300	0.6963267	0.4495933	0.5762035	0.1767614	0.2599003	0.3693810	0.2388412	0.5803324	0.7800539	0.1865693
350	0.8314277	0.3549973	0.5026871	0.2509273	0.2305595	0.4555190	0.3308827	0.6157270	0.7313961	0.2775328
400	0.7585920	0.5180648	0.5894361	0.2573548	0.2554367	0.4192670	0.2474049	0.4997881	0.7197710	0.1729762
450	0.6962579	0.4071679	0.6379168	0.2852291	0.2271287	0.3981889	0.2149629	0.4707190	0.8378891	0.1713313
500	0.7012412	0.4102347	0.6454541	0.3032841	0.1433467	0.3331221	0.2422501	0.4100576	0.7440737	0.2589742
550	0.8708109	0.2813151	0.5494932	0.6149720	0.0934613	0.5179747	0.3401601	0.4863279	0.6316660	0.7163467
600	1.0000000	0.1041874	0.6275919	0.7054533	0.0746427	0.5225385	0.2876012	0.4645547	0.6890097	0.7915018
650	0.8011011	0.0699801	0.6445493	0.5172920	0.1504561	0.5339376	0.2024660	0.8031850	0.8529068	0.7045411
700	0.6620400	0.1082715	0.6577285	0.6687539	0.1818824	0.5773470	0.0991741	0.9053233	0.6679621	0.7063432
750	0.6936029	0.1705306	0.7759094	0.7240066	0.1983433	0.6971726	0.0529532	0.6465590	0.7666924	0.8911200
800	0.7029664	0.1893338	0.7952039	0.6911742	0.1505096	0.6303745	0.1060275	0.8488623	0.7490998	0.7515194
850	0.8497428	0.1315271	0.7565736	0.7542841	0.1372016	0.8605655	0.0479641	0.6547921	0.7129288	0.8234291
900	0.8333335	0.0939369	0.6658558	0.8169803	0.0973091	0.7390105	0.1008241	0.6961704	0.7481595	0.6671696
