G1	G2	G3	G4	G5	G6	G7	G8	G9	G10
0.0000000	0.6413867	0.4671070	0.1514908	0.0403682	0.0591183	0.0117881	0.4240437	0.2740781	0.6859401
0.8017908	0.0000000	0.4751501	0.1194627	0.0656993	0.0569414	0.0170100	0.4745489	0.1036206	0.6689390
0.6281961	0.6070465	0.0000000	0.6905058	0.0206989	0.0530099	0.0250021	0.6393052	0.2124617	0.7637235
0.6358922	0.7166828	0.3673042	0.0000000	0.0611324	0.0798746	0.0327947	0.5724303	0.1934447	0.6521812
0.6814693	0.5935539	0.4308139	0.1762595	0.0000000	0.0244590	0.0145212	0.6157724	0.4763487	0.6736158
0.2840119	0.7355305	0.4506364	0.1301783	0.0495471	0.0000000	0.0193786	0.6900383	0.8431425	0.7558909
0.6951495	0.7361379	0.4056966	0.1618978	0.0211689	0.0618119	0.0000000	0.4916396	0.1540255	0.6581009
0.2038495	0.5319327	0.5436490	0.1356381	0.6809515	0.7906184	0.6916648	0.0000000	0.6925711	0.7284184
0.6348667	0.6987132	0.4073606	0.1298780	0.0599047	0.0554235	0.0294827	0.7398384	0.0000000	0.8476924
0.6728629	0.5334377	0.0375948	0.6585516	0.0486857	0.0446012	0.0134832	0.5871381	0.2828024	0.0000000
