"Time"	G1	G2	G3	G4	G5	G6	G7	G8	G9	G10

0	0.6469446	0.8127267	0.4810048	0.1880165	0.0268078	0.0319486	0.0147432	0.5156543	0.2349154	0.7274259
50	0.6410608	0.0719959	0.4965713	0.1928878	0.0574521	0.0650419	0.0306261	0.3008717	0.2681614	0.8500336
100	0.6385409	0.0193855	0.6202013	0.1591173	0.0334676	0.0398509	0.0444873	0.2684470	0.2835285	0.8467080
150	0.7063616	0.0070646	0.4622247	0.2032646	0.0316058	0.0718728	0.0540993	0.2602784	0.4236998	0.7203889
200	0.5931452	0.0122882	0.5031716	0.2080287	0.0765064	0.0733560	0.0831822	0.2511861	0.5015986	0.6524394
250	0.4248685	0.0032181	0.4585060	0.1322544	0.0635770	0.0721083	0.0520431	0.2868530	0.4771955	0.7758166
300	0.4066906	0.0068868	0.6310406	0.1206953	0.0602106	0.0318558	0.0394867	0.2101038	0.5460219	0.7075544
350	0.4116506	0.0232016	0.4983596	0.1442817	0.0576006	0.0581450	0.0430842	0.3299499	0.5756261	0.7296739
400	0.3519205	0.0146830	0.5264117	0.1474570	0.0723285	0.0641698	0.0280468	0.2059845	0.4987834	0.6481175
450	0.3345993	0.0069938	0.5334432	0.1103788	0.0471586	0.0680644	0.0525606	0.3064493	0.5328950	0.6854141
500	0.4130738	0.0074329	0.5343462	0.0877153	0.0484281	0.1057623	0.0586698	0.3291628	0.4293067	0.7599733
550	0.4443527	0.6424279	0.5314483	0.1158839	0.0396183	0.0279168	0.0241361	0.5411857	0.4621404	1.0000000
600	0.4992366	0.6682605	0.4896138	0.2111477	0.0348461	0.0500265	0.0238562	0.5379584	0.4212765	0.8522936
650	0.5839624	0.6831048	0.3911219	0.1185207	0.0278273	0.0494746	0.0159980	0.5117456	0.3124944	0.8049034
700	0.5145220	0.6265955	0.4979233	0.1382614	0.0502035	0.0458450	0.0355339	0.6045468	0.4243422	0.8634871
750	0.4479008	0.7139716	0.5085731	0.1219271	0.0553374	0.0486760	0.0227376	0.6181149	0.4328789	0.6772727
800	0.5957375	0.6456641	0.4337223	0.1968795	0.0391176	0.0444920	0.0149543	0.4902818	0.3092642	0.6326574
850	0.5801178	0.7128348	0.4228331	0.1251622	0.0356831	0.0214878	0.0197809	0.6075755	0.3616817	0.7605070
900	0.5588811	0.6603972	0.4258019	0.1698890	0.0571397	0.0513458	0.0178911	0.5254695	0.4504531	0.7142841
950	0.4723527	0.5822633	0.4019689	0.1746754	0.0185265	0.0479851	0.0253680	0.5357358	0.2394940	0.8380759
1000	0.6608963	0.7279271	0.4630213	0.1502430	0.0426544	0.0459358	0.0226988	0.5019013	0.3049107	0.6859316

0	0.6833832	0.6929436	0.5478676	0.1832767	0.0415985	0.0468889	0.0166103	0.4967801	0.2178402	0.6503032
50	0.7347940	0.2924852	0.5032126	0.0435652	0.0338996	0.3794750	0.0099008	0.3184354	0.1264820	0.1598997
100	0.6021780	0.3046595	0.1806836	0.0865359	0.0489752	0.5037286	0.0347074	0.2281412	0.2071193	0.0882075
150	0.5179402	0.2422395	0.0918792	0.3482814	0.0361710	0.5132655	0.0546924	0.1527929	0.2536948	0.0820241
200	0.5034706	0.1679011	0.0511551	0.4169441	0.0664998	0.5403237	0.1085889	0.1664846	0.4470775	0.0441563
250	0.4555363	0.2841981	0.0442863	0.5048378	0.0741276	0.5464372	0.0765563	0.1646441	0.6425058	0.0453266
300	0.3558873	0.2231461	0.0172465	0.5624270	0.0483286	0.5905395	0.0588860	0.1034113	0.5240104	0.0602607
350	0.3019746	0.1549405	0.0402838	0.4835357	0.0452103	0.4932147	0.0874918	0.1480610	0.6580242	0.0434401
400	0.2918108	0.1416501	0.0330425	0.5458128	0.0386825	0.5018593	0.1302842	0.2055514	0.5127680	0.0280144
450	0.2138725	0.1669980	0.0375404	0.5439590	0.0167227	0.6020605	0.1145235	0.1766521	0.6602063	0.0422983
500	0.2355049	0.0866953	0.0482844	0.4700064	0.0639720	0.5852195	0.1880210	0.1634774	0.7058276	0.0439726
550	0.1680558	0.3241838	0.0376480	0.6987327	0.0757057	0.2022212	0.2409168	0.1698932	0.6363833	0.5179579
600	0.2393788	0.3539945	0.1591676	0.5467573	0.0648566	0.0880846	0.0685437	0.3805976	0.5568784	0.6270392
650	0.2648559	0.4605009	0.2931268	0.3611695	0.0738987	0.0817833	0.0346441	0.4803523	0.3972374	0.7071114
700	0.5318789	0.5947576	0.4713286	0.2323717	0.0599840	0.0710314	0.0358173	0.5170844	0.2142806	0.6483988
750	0.5439631	0.6152950	0.4943036	0.2361033	0.0275492	0.0748370	0.0340593	0.5072187	0.1684996	0.7416187
800	0.7466963	0.5818462	0.4704559	0.1468989	0.0550961	0.0764430	0.0238021	0.3840336	0.1578323	0.8371717
850	0.5975780	0.6948679	0.4518341	0.1525856	0.0555423	0.0477938	0.0322510	0.5469331	0.1369532	0.6621849
900	0.7727774	0.5870625	0.3898931	0.1219063	0.0482919	0.0818674	0.0285419	0.4878959	0.2310408	0.6589705
950	0.7461509	0.8409019	0.3548199	0.1936312	0.0272790	0.0823056	0.0325913	0.5785370	0.2236527	0.6891997
1000	0.6559098	0.7574050	0.3855901	0.1148063	0.0363154	0.0424864	0.0205763	0.5469127	0.3164129	0.8538509

0	0.5833199	0.5992536	0.5317775	0.1771549	0.0544470	0.0587146	0.0221274	0.6119104	0.2128683	0.6802151
50	0.5608093	0.6604825	0.6017844	0.1747864	0.0490068	0.0392215	0.0176535	0.4994996	0.2617359	0.7780344
100	0.6649417	0.6876032	0.6909732	0.0916492	0.0347667	0.0493086	0.0281872	0.5311975	0.2176062	0.8844677
150	0.7584566	0.6151108	0.5604857	0.1047068	0.0459304	0.0582227	0.0042200	0.5277067	0.1638957	0.7263583
200	0.6959608	0.7316681	0.6345205	0.1219906	0.0306969	0.0531942	0.0206267	0.5926815	0.1638886	0.7105798
250	0.7258530	0.6882495	0.6797963	0.1357906	0.0618513	0.0779682	0.0376306	0.5513113	0.2139872	0.8258658
300	0.7057173	0.6151850	0.6211772	0.0985469	0.0674247	0.0575521	0.0114556	0.5824002	0.1742678	0.8107727
350	0.7699942	0.7070719	0.6290459	0.0917058	0.0699542	0.0596667	0.0234070	0.5843954	0.1520570	0.8479844
400	0.6102404	0.6558616	0.5723518	0.1174471	0.0366911	0.0372478	0.0228201	0.6079224	0.2148653	0.5789705
450	0.8138381	0.6535163	0.7839231	0.0964857	0.0757560	0.0542573	0.0140772	0.5537709	0.2466502	0.6554009
500	0.6727227	0.7672885	0.6599384	0.1776637	0.0577368	0.0838038	0.0364661	0.4836282	0.2248791	0.6406556
550	0.5912830	0.6638749	0.4235101	0.1123196	0.0812396	0.0799557	0.0069614	0.4815789	0.2566548	0.7310575
600	0.5595900	0.7521309	0.4452890	0.1703323	0.0616592	0.0829614	0.0175264	0.4038004	0.1350320	0.8191552
650	0.6891567	0.7062757	0.4596390	0.0797028	0.0678375	0.0527485	0.0331041	0.4921564	0.1081057	0.6748262
700	0.7687463	0.7683203	0.5713757	0.1568585	0.0818607	0.0776693	0.0108472	0.5091963	0.1288535	0.7126848
750	0.5939393	0.6696864	0.5444468	0.1410988	0.0545167	0.0992938	0.0311823	0.4666572	0.1193312	0.7878418
800	0.6188337	0.6802084	0.4443296	0.1250936	0.0596146	0.0640419	0.0609057	0.5353077	0.1136107	0.7382585
850	0.7319616	0.7570666	0.5178916	0.1649731	0.0708318	0.0605894	0.0166643	0.4139358	0.1307870	0.7809991
900	0.6845242	0.5778726	0.6564821	0.1546915	0.0596070	0.0461569	0.0189782	0.4952873	0.2439654	0.6948328
950	0.4638487	0.6223459	0.3943294	0.1292596	0.0561758	0.0630589	0.0114482	0.6353033	0.2774700	0.6758710
1000	0.5847300	0.7024446	0.4662167	0.1288648	0.0458866	0.0495643	0.0068569	0.5437210	0.2492645	0.6934016

0	0.6290184	0.6449088	0.4866303	0.1605931	0.0459133	0.0507906	0.0296921	0.5778158	0.2114781	0.6651912
50	0.5505126	0.3091822	0.5724345	0.1713698	0.0365886	0.0718402	0.0056272	0.4686476	0.2432575	0.6765227
100	0.7371076	0.2418451	0.5507075	0.1764204	0.0739245	0.0343044	0.0057274	0.3348926	0.1928665	0.7867087
150	0.7038982	0.2664436	0.4164133	0.1465542	0.0507535	0.0579163	0.0040250	0.4144152	0.2705930	0.6255498
200	0.6107353	0.2781305	0.4363243	0.1345094	0.0478446	0.0722103	0.0071209	0.3173526	0.2439918	0.6768098
250	0.5892537	0.3089025	0.5501794	0.1417057	0.0738635	0.0823952	0.0072527	0.3551428	0.2034497	0.8171519
