G1	G2	G3	G4	G5	G6	G7	G8	G9	G10
0.0000000	0.6937963	0.2985990	0.2890014	0.7557379	0.6630641	0.3205339	0.7145551	0.4842492	0.5851201
0.4405728	0.0000000	0.8735984	0.2078713	0.7001689	0.7146467	0.3892832	0.7767246	0.7034311	0.7253962
0.3771798	0.1545820	0.0000000	0.6928070	0.6111297	0.7923080	0.3096684	0.6573144	0.7232024	0.6213950
0.0780265	0.5318513	0.3428645	0.0000000	0.7322711	0.6910304	0.4073941	0.8335041	0.5214548	0.6817975
0.7673415	0.2298028	0.7022137	0.1432262	0.0000000	0.6691624	0.3141526	0.6832678	0.6425975	0.7011201
0.1958135	0.3887028	0.7994651	0.2133815	0.5972478	0.0000000	0.5982979	0.7486636	0.4853871	0.6539958
0.7025125	0.1833279	0.6655585	0.2020864	0.7373874	0.8423731	0.0000000	0.7231823	0.6751227	0.7324223
0.6094422	0.1986479	0.4017079	0.2842421	0.7319076	0.0912329	0.2425030	0.0000000	0.6859342	0.7976630
0.5129038	0.1713074	0.6609704	0.2642278	0.5150646	0.8354906	0.2580986	0.6659376	0.0000000	0.6265326
0.3263183	0.4188522	0.6088720	0.1997348	0.7065363	0.8554782	0.3229039	0.6899505	0.3071967	0.0000000
