G1	G2	G3	G4	G5	G6	G7	G8	G9	G10
0.1011081	0.1392076	0.3767423	0.1393621	0.0077013	0.4669921	0.2229186	0.1707710	0.8096665	0.6989557
0.7387799	0.5550391	0.4069832	0.1036352	0.0019788	0.0407612	0.0176521	0.5835466	0.1902408	0.6523616
0.2234800	0.2662862	0.4771057	0.0190170	0.6848685	0.7753352	0.1833196	0.1325404	0.7017308	0.6002287
0.6307169	0.6886196	0.5541896	0.0223393	0.0000934	0.1027663	0.0321295	0.4948420	0.1749262	0.7754120
0.1243760	0.6308827	0.2841732	0.0706620	0.0002944	0.0003346	0.0277533	0.7195498	0.6491623	0.7378306
0.5111114	0.5466717	0.2497911	0.2310179	0.1853872	0.3152152	0.0698477	0.2883140	0.4327647	0.6299019
0.3041351	0.3526814	0.3704744	0.1502456	0.3059882	0.7216415	0.3315202	0.1313212	0.5407168	0.7236829
0.4334858	0.5261514	0.2092802	0.3599673	0.1004611	0.3944350	0.0760072	0.2110248	0.5080456	0.4555945
0.5174975	0.7421637	0.3748394	0.0388810	0.0956844	0.1830252	0.0212233	0.3076354	0.2377530	0.6877090
0.1163594	0.5420610	0.5184324	0.0996660	0.4435918	0.7088292	0.1851808	0.1497459	0.6938476	0.7210851
