"Time"	G1	G2	G3	G4	G5	G6	G7	G8	G9	G10

0	0.8103061	0.0726019	0.4322685	0.6880491	0.1195008	0.3408969	0.4885483	0.7543741	0.7226409	0.6634990
50	0.7510309	0.1066738	0.4118277	0.6956981	0.1166960	0.2505393	0.4786183	0.6593276	0.3217915	0.6034735
100	0.6164395	0.0863344	0.3285536	0.5791796	0.0610939	0.2750415	0.5558466	0.6497904	0.3360180	0.7251958
150	0.7727224	0.0776236	0.3748576	0.7286083	0.0930421	0.2776274	0.5114306	0.7503632	0.2800142	0.7090731
200	0.6787161	0.0770491	0.4120746	0.6792107	0.1475321	0.2870480	0.5387900	0.7673329	0.2350677	0.6755801
250	0.6439356	0.1365827	0.2678961	0.6447890	0.1075329	0.2808548	0.4169110	0.6253333	0.2589990	0.5906897
300	0.7447897	0.1139906	0.2917564	0.6583105	0.1559587	0.2566091	0.3618814	0.6661193	0.2059425	0.5584888
350	0.5940334	0.0959752	0.4204285	0.6411639	0.0928741	0.2665166	0.5470589	0.7330334	0.1981253	0.7031191
400	0.6712993	0.0994857	0.2925690	0.5919678	0.1206626	0.3642384	0.5261076	0.7068267	0.2439515	0.5275823
450	0.6446882	0.0998178	0.4020630	0.6403645	0.0991152	0.2815574	0.4379865	0.6871788	0.2997329	0.6386117
500	0.6598418	0.1119643	0.3909000	0.6589018	0.1168698	0.3318102	0.4016568	0.6872382	0.2527961	0.6709274
550	0.7162356	0.0577756	0.3162894	0.6100826	0.0749678	0.3155158	0.3617483	0.6663104	0.5678046	0.6293715
600	0.6814965	0.0732267	0.3187338	0.6317980	0.1025176	0.3292434	0.4504737	0.5537748	0.6376694	0.6031907
650	0.7685715	0.1095483	0.3823461	0.4660706	0.0918063	0.3247554	0.4157741	0.6940868	0.7295831	0.6530607
700	0.7489250	0.0774411	0.3355573	0.6298487	0.0787937	0.3165930	0.4850439	0.7781588	0.6529204	0.5885871
750	0.6304524	0.0893414	0.3394596	0.5526629	0.1438797	0.2834212	0.4355371	0.6487800	0.5669069	0.6096976
800	0.5637949	0.1069294	0.2826185	0.6342343	0.1408531	0.2638282	0.5551641	0.7318404	0.7193046	0.7622567
850	0.6592849	0.0768645	0.3462315	0.5777614	0.1055506	0.3168151	0.5980683	0.7407633	0.7732871	0.5880109
900	0.7169292	0.1118217	0.3239692	0.5916691	0.1429350	0.2918134	0.6278896	0.7592693	0.7369676	0.6466339
950	0.7140292	0.0798602	0.3299787	0.6252857	0.1415595	0.2543528	0.5850242	0.6206505	0.7189632	0.6169189
1000	0.5648677	0.1185327	0.3606071	0.5913233	0.0869113	0.3246869	0.4406431	0.6448828	0.6467504	0.6969920

0	0.7099897	0.1183619	0.3093776	0.7333588	0.1200591	0.3058981	0.5427447	0.7135444	0.6318540	0.7143145
50	0.6323621	0.0766654	0.6187615	0.5261544	0.0425399	0.3749639	0.2283872	0.5859310	0.6330135	0.7557821
100	0.6686995	0.0873927	0.5319724	0.6025117	0.0110691	0.3052088	0.1297315	0.5542135	0.5169148	0.7617167
150	0.7224311	0.1149170	0.3905209	0.7246198	0.0097459	0.3604626	0.1689599	0.6900360	0.6659687	0.6767863
200	0.6729810	0.1322102	0.4825271	0.5370188	0.0069896	0.2993369	0.1443888	0.5212024	0.6901627	0.6064094
250	0.6671574	0.0988398	0.4393199	0.5290234	0.0100127	0.3494002	0.0927132	0.6740266	0.7191254	0.6875740
300	0.6331620	0.1520721	0.4885930	0.7589793	0.0148224	0.2707107	0.1697911	0.6877383	0.7607733	0.6938120
350	0.8044876	0.0928111	0.5572421	0.6301291	0.0088866	0.3395954	0.0892939	0.5157622	0.6512582	0.5789907
400	0.7106765	0.1175706	0.4325319	0.5399233	0.0045778	0.3154133	0.1310642	0.5870703	0.7261986	0.7275322
450	0.7153009	0.1177754	0.4826912	0.5919811	0.0025078	0.4027227	0.0954741	0.6481253	0.6369470	0.6113378
500	0.6409648	0.0698943	0.4810285	0.8374077	0.0046721	0.3635592	0.0898222	0.5648885	0.6284267	0.7215558
550	0.6717591	0.1292309	0.3092422	0.6305587	0.1092507	0.3153937	0.3635590	0.6967142	0.6046125	0.7354836
600	0.6272087	0.1088891	0.2097397	0.5168008	0.1631572	0.3222870	0.4975639	0.6063741	0.5745841	0.7324889
650	0.6663831	0.1267012	0.3161276	0.5067415	0.1401578	0.3902671	0.6203943	0.6022324	0.7763474	0.6285959
700	0.7271163	0.0991892	0.4015851	0.6329284	0.1686529	0.2976381	0.5910197	0.6343746	0.8158791	0.6709477
750	0.6707082	0.1083251	0.4092511	0.5233853	0.1499777	0.2823623	0.4557722	0.7324045	0.6228309	0.7309524
800	0.7771984	0.0653553	0.3718839	0.6415567	0.1100265	0.3325533	0.3146013	0.7291346	0.6986067	0.6956823
850	0.7832722	0.1055994	0.3582166	0.5806947	0.1003556	0.3361292	0.4242757	0.7765750	0.6178697	0.7429995
900	0.5423591	0.0520539	0.2390764	0.7498563	0.1104568	0.3338668	0.4563878	0.7860725	0.5819921	0.6632693
950	0.7613870	0.1041701	0.3594583	0.6246880	0.1023250	0.3139559	0.5057254	0.6886024	0.6754052	0.7479224
1000	0.6565589	0.0915223	0.3320818	0.5758606	0.0946610	0.4463406	0.4640254	0.6560031	0.6607756	0.7112727

0	0.5840628	0.0685876	0.3868196	0.7186457	0.1010074	0.3143425	0.4768322	0.6795799	0.6496739	0.6497495
50	0.2995305	0.0944033	0.0856283	0.5736079	0.1298417	0.1897672	0.4710902	0.7218894	0.7555203	0.5812969
100	0.1692765	0.0765809	0.0643271	0.4254297	0.2434470	0.1269160	0.3584715	0.7006603	0.6620664	0.5315292
150	0.0865535	0.0769909	0.0846175	0.3576230	0.4563184	0.1710459	0.3951192	0.8301669	0.6426133	0.6491739
200	0.1241351	0.0802202	0.1350090	0.2200012	0.5155803	0.0993413	0.2925276	0.5744986	0.7950624	0.6694761
250	0.1108988	0.0811619	0.1155058	0.2575657	0.7165394	0.0832410	0.3674207	0.7041490	0.7039396	0.5823889
300	0.1492805	0.0660887	0.1071155	0.2434002	0.6102635	0.0975485	0.5549732	0.5272559	0.6445432	0.6814019
350	0.1042370	0.0978617	0.1179730	0.2580343	0.6073730	0.0902449	0.4127422	0.7091769	0.7506097	0.6749820
400	0.1437856	0.1113339	0.1029588	0.2400607	0.5734481	0.0645565	0.3840629	0.6642595	0.6980184	0.4609330
450	0.1151086	0.0806023	0.1248568	0.2875634	0.5723384	0.0763801	0.4292870	0.6224325	0.5794952	0.5083770
500	0.1473658	0.0767010	0.1049991	0.2407719	0.6845642	0.1186531	0.3983939	0.7082318	0.6978948	0.6703888
550	0.5211145	0.0826818	0.2774818	0.3448521	0.5819899	0.2424414	0.5151880	0.7347356	0.6436276	0.7467633
600	0.5397854	0.0628981	0.3919362	0.5896970	0.3021073	0.2337792	0.5106495	0.6829706	0.6564449	0.6027793
