G1	G2	G3	G4	G5	G6	G7	G8	G9	G10
0.0000000	0.4862798	0.2100492	0.3153038	0.7391416	0.3290835	0.8191436	0.6112889	0.6657170	0.6902816
0.7602326	0.0000000	0.2914658	0.6256443	0.1243396	0.3260200	0.5793892	0.6617085	0.7932358	0.6304693
0.7471632	0.0833348	0.0000000	0.3855184	0.1525636	0.2466868	0.6897463	0.6104863	0.7111703	0.6117718
0.6152465	0.0881558	0.6453894	0.0000000	0.1023974	0.2590141	0.1967229	0.7388083	0.6896693	0.6663055
0.6083451	0.1137860	0.3885623	0.6776996	0.0000000	0.3663603	0.5507187	0.6353902	0.6796509	0.7427475
0.8101061	0.3522087	0.3509382	0.7678446	0.1553587	0.0000000	0.4221064	0.5967996	0.7269302	0.7288439
0.7273886	0.0814952	0.2564566	0.4261538	0.1070077	0.2585886	0.0000000	0.6225041	0.6609378	0.7166246
0.5744972	0.1966708	0.3701016	0.7058546	0.2227842	0.7294333	0.5541272	0.0000000	0.7541360	0.5756152
0.7072338	0.1122403	0.4023762	0.3240915	0.1137919	0.2753599	0.5545323	0.6287797	0.0000000	0.0422243
0.7141258	0.0767469	0.3355463	0.3503624	0.1479634	0.3129199	0.5201638	0.7909950	0.7612821	0.0000000
