"Time"	G1	G2	G3	G4	G5	G6	G7	G8	G9	G10	G11	G12	G13	G14	G15	G16	G17	G18	G19	G20	G21	G22	G23	G24	G25	G26	G27	G28	G29	G30	G31	G32	G33	G34	G35	G36	G37	G38	G39	G40	G41	G42	G43	G44	G45	G46	G47	G48	G49	G50	G51	G52	G53	G54	G55	G56	G57	G58	G59	G60	G61	G62	G63	G64	G65	G66	G67	G68	G69	G70	G71	G72	G73	G74	G75	G76	G77	G78	G79	G80	G81	G82	G83	G84	G85	G86	G87	G88	G89	G90	G91	G92	G93	G94	G95	G96	G97	G98	G99	G100

0	0.3735129	0.0031130	0.8052874	0.2554535	0.1644630	0.4272999	0.1356944	0.2032487	0.3405207	0.4529350	0.6210786	0.4393503	0.4388595	0.3493630	0.3555069	0.0473574	0.4552555	0.5011183	0.6757103	0.3734262	0.6788113	0.6766746	0.6683023	0.4378899	0.4001630	0.4165017	0.3149114	0.5763174	0.6927031	0.2853913	0.2564644	0.0217977	0.1181058	0.0537126	0.0002305	0.4689950	0.0850126	0.0358327	0.5475116	0.4085304	0.7115455	0.7940014	0.2879685	0.0670060	0.4396572	0.6041924	0.6969810	0.1014340	0.3151976	0.3334119	0.6164533	0.4224700	0.6283508	0.6743280	0.0163870	0.8355623	0.6857114	0.5161386	0.4352353	0.1942333	0.0704185	0.3567450	0.6890365	0.0949110	0.8062482	0.3469894	0.5988727	0.5871922	0.6980994	0.6370726	0.0702864	0.1824709	0.7271796	0.7234783	0.1532186	0.6533459	0.5505795	0.0074613	0.7847180	0.2382252	0.6827875	0.0080533	0.4600973	0.5610244	0.0253268	0.1378802	0.2536424	0.2927076	0.4970874	0.0325556	0.7255812	0.6105533	0.0289946	0.0286114	0.0062555	0.7552104	0.7710119	0.1133818	0.6078626	0.1743455
50	0.3103960	0.0142845	0.6232283	0.3172618	0.2110966	0.5175526	0.1381734	0.2508233	0.2524619	0.4442458	0.4953370	0.4467141	0.2342203	0.3071639	0.2068337	0.0688172	0.4279669	0.4003743	0.5933490	0.5049324	0.7726649	0.6838835	0.5904637	0.4208333	0.3577354	0.4938012	0.3240943	0.6794716	0.6867254	0.2930653	0.3683048	0.0132660	0.0793403	0.0608239	0.0021341	0.2417453	0.4706190	0.4459887	0.6243479	0.5390263	0.3260621	0.6361751	0.2465194	0.0669245	0.4344041	0.5495033	0.7463663	0.0439260	0.6187768	0.3312810	0.5780852	0.5283155	0.5642251	0.6100240	0.0488313	0.6434109	0.6102148	0.6270238	0.3963161	0.1480663	0.0108225	0.2070050	0.6901620	0.1000916	0.7209176	0.5308835	0.6347264	0.6905916	0.3599017	0.6414058	0.0034632	0.1994403	0.5607746	0.6695328	0.5180385	0.6194610	0.6806333	0.0072374	0.1695607	0.2140318	0.7415327	0.0059975	0.4843712	0.6489759	0.0164752	0.1644920	0.3386341	0.2050335	0.5078578	0.0435851	0.5666906	0.7134927	0.0415679	0.4406212	0.0163422	0.6906726	0.3624735	0.4826893	0.6138387	0.2049947
100	0.3268907	0.0249103	0.7514141	0.3503360	0.1996337	0.4819213	0.1972765	0.2475371	0.1780432	0.4986039	0.4913999	0.4299996	0.0705807	0.2496415	0.1836460	0.0510867	0.3844043	0.2400814	0.6847198	0.5774676	0.6439827	0.5701358	0.6663134	0.5965915	0.2989776	0.6523203	0.2890370	0.6917721	0.6522109	0.4067153	0.3119481	0.0026793	0.0558818	0.0227834	0.0023206	0.0353527	0.5986161	0.6270349	0.6391336	0.6583799	0.2029887	0.6428038	0.4247047	0.0633008	0.3691827	0.6571525	0.8250122	0.0430538	0.6016462	0.4238241	0.7120973	0.6734656	0.6395251	0.6924675	0.0288174	0.6578446	0.4288480	0.5345444	0.4745321	0.1439984	0.0101068	0.1479107	0.6347799	0.1652117	0.6459406	0.4515271	0.6406325	0.6536038	0.2599402	0.6859706	0.0042767	0.1261651	0.7041602	0.6320506	0.5966086	0.7156146	0.4813280	0.0055003	0.0833986	0.2080819	0.7688342	0.0020558	0.4684865	0.6986392	0.0175940	0.2051725	0.2378168	0.1526573	0.5593539	0.0437773	0.7567186	0.7626805	0.0359259	0.8380131	0.0028368	0.6901058	0.2083304	0.6649888	0.6176014	0.1516535
150	0.3456664	0.0074623	0.6197020	0.3535224	0.2066917	0.4654429	0.1635246	0.2060468	0.1832041	0.4371119	0.3973801	0.4550525	0.0529366	0.3905337	0.1684907	0.0443872	0.3620603	0.1342890	0.6785213	0.5550435	0.6453322	0.5510929	0.6559664	0.4327570	0.4052391	0.6423254	0.1635270	0.5900104	0.6990953	0.3342508	0.3631780	0.0045276	0.0360154	0.0328146	0.0004364	0.0269120	0.7125194	0.4948852	0.5247296	0.5922253	0.1348327	0.6058533	0.4305309	0.0904498	0.4461521	0.6136816	0.7051966	0.0361764	0.5013960	0.3654126	0.5696039	0.6473204	0.6311745	0.6785435	0.0158116	0.8060390	0.4066130	0.5771603	0.4044985	0.1565399	0.0441989	0.1023369	0.7295175	0.1108981	0.6542906	0.4563597	0.6617126	0.7326234	0.1287027	0.7359491	0.0032864	0.0807743	0.6462064	0.7173051	0.5833380	0.6998526	0.5025588	0.0010817	0.1562507	0.1843224	0.5981820	0.0017217	0.4643256	0.6386788	0.0069959	0.1931042	0.2872968	0.1402651	0.4390916	0.0621297	0.6321755	0.6202921	0.0324664	0.7999415	0.0133233	0.5915686	0.2371517	0.5758221	0.6091891	0.1208767
200	0.5088680	0.0060380	0.7091230	0.3463236	0.1747912	0.4732541	0.1332605	0.1325046	0.1184298	0.3480235	0.3178369	0.5134995	0.0094544	0.3867445	0.1922940	0.0519829	0.4702577	0.1078746	0.6050045	0.4881977	0.8208379	0.7290017	0.5946818	0.2870417	0.2945085	0.6223890	0.1138828	0.5603714	0.8661006	0.2651904	0.2585686	0.0001582	0.0414261	0.0317211	0.0057145	0.0312687	0.6200610	0.6399449	0.4886671	0.6510832	0.1262109	0.6925581	0.4355462	0.1139352	0.3525498	0.5587565	0.6412437	0.1064241	0.5393134	0.2867060	0.5887298	0.7144032	0.6016578	0.7388378	0.0100151	0.7704543	0.3864086	0.5606054	0.4720820	0.1247634	0.0609861	0.0860457	0.7112045	0.0799745	0.7758325	0.5723352	0.7292380	0.7593981	0.1782761	0.6851240	0.0040530	0.0519701	0.7827102	0.7502048	0.5434434	0.6360481	0.5152231	0.0084093	0.1341811	0.2250533	0.5643703	0.0001345	0.4993971	0.6036948	0.0103067	0.2286397	0.2926345	0.2347080	0.6073136	0.0463902	0.7176597	0.6860956	0.0421305	0.5709571	0.0146907	0.6831037	0.2071328	0.5930615	0.6079847	0.1322132
250	0.4772893	0.0040850	0.8376824	0.4345398	0.1319320	0.4815120	0.1165885	0.1392757	0.1147925	0.4803333	0.3306767	0.4172197	0.0220972	0.4956908	0.2448135	0.0533051	0.4281609	0.1009113	0.7736822	0.3773582	0.6377301	0.6578174	0.6593535	0.2183882	0.2889519	0.6714654	0.1186519	0.5689387	0.6930349	0.3019025	0.2981674	0.0011981	0.0381021	0.0346337	0.0110389	0.0140325	0.6736497	0.5698036	0.3957024	0.6906717	0.2037300	0.6339958	0.3968431	0.1456684	0.4223833	0.4932845	0.5824666	0.0721817	0.4790171	0.2757198	0.6312290	0.7009575	0.7202081	0.6747740	0.0240411	0.6335185	0.3856760	0.5824046	0.4421946	0.1800773	0.1172435	0.0688139	0.7011521	0.0899785	0.6066165	0.4814902	0.6422792	0.5793381	0.1250613	0.6411309	0.0003461	0.0532045	0.7364498	0.7566412	0.6920577	0.5617141	0.4957286	0.0035706	0.1135269	0.2525748	0.6185447	0.0003670	0.3688820	0.6263994	0.0118069	0.2080980	0.3181599	0.1957195	0.5472627	0.0719064	0.7733987	0.5737125	0.0291624	0.6212788	0.0054423	0.7235616	0.2394337	0.5274889	0.6222302	0.0998082
300	0.5971047	0.0039562	0.8358730	0.4168912	0.1897122	0.3457430	0.1502187	0.1075514	0.1608624	0.3823721	0.2857939	0.4197469	0.0123059	0.3933851	0.2039347	0.0501386	0.4084877	0.0770535	0.7397855	0.4404536	0.6017701	0.6679293	0.7305003	0.1991925	0.2677669	0.6002046	0.1062782	0.7069183	0.6924514	0.3226943	0.2349988	0.0000000	0.0636650	0.0283806	0.0036215	0.0197162	0.5470172	0.5935598	0.3856102	0.6372081	0.1472220	0.6800304	0.4429036	0.1843506	0.4447369	0.2852641	0.6136197	0.1432534	0.4380315	0.3237683	0.5567006	0.6601168	0.5989243	0.6539176	0.0095470	0.7252894	0.4305585	0.4772842	0.4605968	0.1589683	0.1253338	0.1041607	0.8026198	0.1044584	0.6463703	0.4618635	0.5872313	0.6687074	0.1504741	0.7999880	0.0024513	0.0496192	0.6678935	0.6766126	0.6698014	0.6461463	0.4702003	0.0057293	0.1266193	0.2071137	0.6893864	0.0000000	0.5319729	0.5772195	0.0078402	0.1404351	0.3262211	0.1407056	0.4509964	0.0714589	0.6128601	0.6680073	0.0341243	0.7400396	0.0076111	0.7173374	0.2717252	0.5398084	0.5947602	0.1624507
350	0.4884600	0.0053700	0.6958371	0.3600920	0.1267222	0.3805527	0.1482083	0.0958098	0.1292165	0.4921922	0.3268896	0.4243304	0.0087221	0.4833340	0.1897154	0.0300446	0.4267407	0.0963112	0.6407137	0.5299310	0.7717075	0.6909121	0.6282742	0.2363656	0.2643320	0.6016936	0.1294583	0.7614342	0.6530377	0.3872171	0.2462711	0.0022564	0.0289949	0.0298621	0.0041090	0.0181314	0.6663324	0.4550192	0.3989715	0.7829972	0.1507045	0.6168530	0.3741874	0.1616593	0.3348504	0.3139658	0.7585792	0.1615372	0.6374865	0.3222830	0.5489886	0.6662275	0.5774987	0.8436864	0.0162257	0.6133368	0.3595736	0.4707431	0.5489212	0.1607076	0.0613268	0.0865451	0.6244520	0.0842532	0.6379472	0.5218861	0.6796894	0.6517910	0.2072098	0.6727627	0.0018794	0.0622900	0.6578404	0.5786768	0.4975976	0.7184535	0.5402964	0.0015723	0.1051956	0.1790568	0.7800592	0.0007243	0.5514990	0.5921131	0.0145190	0.1377605	0.3006302	0.2019848	0.3577043	0.0612831	0.6490092	0.6206136	0.0305434	0.6477148	0.0262820	0.7447017	0.2145483	0.7113431	0.7190609	0.1582430
400	0.5824051	0.0095069	0.6975683	0.4068562	0.1703742	0.2894836	0.1210048	0.0979737	0.2018360	0.3884614	0.2840272	0.5106293	0.0113577	0.3581792	0.2213221	0.0300110	0.4963081	0.1118242	0.6732146	0.5906403	0.7034901	0.6066406	0.5838100	0.2653351	0.2074896	0.7038701	0.2133386	0.5996524	0.6540473	0.3260925	0.3055878	0.0021980	0.0541165	0.0196342	0.0060644	0.0119277	0.6791982	0.5071455	0.3563855	0.6392741	0.1041259	0.5728947	0.5293148	0.1706271	0.3709503	0.3118353	0.7003250	0.1451988	0.5162391	0.3649646	0.6092725	0.6770960	0.5060474	0.6301365	0.0171601	0.7835044	0.3668869	0.6080344	0.5451761	0.1901563	0.0939279	0.0884174	0.7154696	0.1174297	0.6605678	0.4395282	0.7220603	0.6302761	0.2047418	0.7727439	0.0118276	0.0371066	0.7547270	0.7223702	0.5722518	0.6454477	0.4121909	0.0049369	0.1284815	0.2462053	0.7761511	0.0000000	0.4687175	0.6694562	0.0073433	0.2034995	0.3689327	0.3937452	0.2671838	0.1366696	0.5621225	0.6546760	0.0220014	0.6392587	0.0133351	0.6284977	0.2069336	0.7021134	0.5510544	0.1271152
