"G_i"	"G_j"
79	80
5	79
5	80
5	50
1	5
50	79
50	80
1	79
1	80
5	29
29	62
63	96
1	50
5	36
29	36
29	79
29	80
62	79
62	80
1	36
7	46
29	50
36	46
1	29
1	46
1	56
1	98
1	100
5	46
5	53
5	56
5	98
5	99
5	100
7	34
7	36
7	38
23	26
23	63
23	87
23	95
23	96
29	46
29	64
29	66
29	98
29	100
34	38
34	46
36	98
36	100
38	46
46	100
50	53
63	79
63	80
63	87
63	95
79	96
79	99
80	96
80	99
87	95
87	96
95	96
1	7
1	62
1	94
5	7
5	21
5	34
5	45
5	58
5	62
5	72
7	28
7	29
7	100
26	63
26	87
26	95
26	96
29	32
29	72
29	87
29	96
30	62
34	36
36	38
36	56
36	96
45	79
45	80
46	98
58	79
58	80
58	99
64	66
77	79
77	80
