"G_i"	"G_j"
71	512
2	227
292	512
512	567
2	673
10	180
34	319
66	160
66	673
71	292
227	512
2	66
180	512
2	71
34	512
71	227
71	567
34	66
34	673
66	227
319	512
2	319
2	503
2	512
34	515
66	512
160	567
319	515
34	503
2	34
66	71
66	319
66	342
66	503
227	673
319	673
2	292
34	71
71	160
160	512
227	319
503	673
512	673
34	85
34	292
71	319
160	292
2	515
34	160
34	227
85	160
292	503
292	567
319	503
342	673
512	520
515	673
36	71
36	512
66	85
66	292
66	515
71	503
71	520
71	673
85	292
85	319
160	180
160	319
180	567
227	292
292	319
503	512
503	515
2	85
2	131
2	160
10	567
34	342
66	131
71	515
71	699
85	673
131	227
131	673
160	503
160	673
227	503
227	699
252	512
292	673
512	515
512	699
2	36
2	342
66	567
85	227
85	512
160	227
160	515
180	252
292	515
342	503
34	36
34	252
34	699
36	292
71	85
227	342
227	515
36	227
36	319
66	699
71	180
85	503
85	515
131	503
160	699
319	342
319	699
342	515
503	636
503	699
520	567
2	699
10	160
10	512
34	131
34	180
36	66
36	85
36	160
71	770
131	319
131	342
131	515
292	636
319	636
2	636
34	459
36	503
36	567
36	673
71	131
71	342
85	131
85	699
130	699
131	160
131	292
131	512
131	699
180	319
180	699
244	512
252	319
274	699
342	699
459	636
512	770
567	699
673	699
2	717
2	770
10	503
34	244
34	636
71	636
85	342
130	512
130	567
160	342
160	636
227	636
227	717
244	292
244	319
244	699
292	342
292	699
319	459
439	670
459	503
459	515
459	587
515	636
515	699
2	10
2	138
10	66
10	319
10	459
34	209
34	402
34	439
34	567
34	587
36	209
36	402
36	515
36	636
36	699
66	180
66	439
66	459
66	587
71	244
71	274
71	569
85	209
85	252
85	402
130	180
138	319
138	474
138	512
160	209
160	402
209	292
209	319
209	402
209	503
209	515
209	699
227	520
227	567
252	699
274	512
292	402
319	402
319	587
342	439
342	459
342	512
342	587
402	503
402	515
402	699
409	670
439	587
439	673
439	772
439	784
459	673
512	569
512	636
515	567
515	587
587	673
670	772
2	180
2	209
2	290
2	402
2	459
10	46
10	636
34	130
34	770
34	784
36	131
36	138
36	180
36	244
36	342
36	459
46	180
66	209
66	252
66	274
66	402
66	480
66	520
66	784
71	130
71	459
85	244
85	636
130	244
130	252
130	319
131	209
131	402
138	227
138	459
138	503
160	244
160	274
160	770
180	244
180	274
180	503
209	227
209	244
209	342
209	636
209	673
227	274
227	290
227	402
241	409
241	439
241	503
241	670
244	252
244	402
244	503
244	515
244	567
244	636
252	442
252	567
274	292
290	319
290	636
292	459
292	520
292	770
319	439
319	567
319	784
342	402
342	784
402	636
402	673
439	459
439	515
442	512
459	784
503	770
515	770
515	784
520	699
567	670
567	770
567	775
587	784
636	699
636	770
673	784
726	772
2	241
2	244
2	474
2	587
2	784
10	34
10	36
10	71
10	138
10	227
10	252
10	717
10	772
34	138
34	241
34	520
34	535
34	760
36	535
36	587
36	770
66	241
66	244
66	489
66	535
66	636
66	717
66	770
71	209
71	402
71	442
71	489
71	670
71	726
71	772
71	775
85	442
85	459
85	535
130	160
130	227
130	274
130	520
131	244
131	636
138	180
138	252
138	292
138	515
138	567
138	587
138	636
138	717
160	252
160	489
160	520
160	535
180	292
180	442
180	459
180	515
180	520
180	535
180	569
180	760
209	512
227	244
227	459
227	726
227	772
241	342
241	587
241	673
241	784
244	342
244	569
244	673
252	459
252	520
252	535
252	760
274	342
274	520
274	673
292	569
292	670
319	442
319	535
319	717
319	770
342	636
402	512
409	439
409	784
439	489
439	503
439	726
442	503
442	567
459	512
459	717
459	770
480	569
489	503
489	670
489	772
489	775
503	567
503	717
512	535
512	670
512	726
512	760
512	772
512	775
515	717
520	535
520	636
520	670
520	726
520	772
535	699
567	636
636	673
636	717
670	726
670	784
717	772
