"Old"	"New"
G1	YDR314C
G2	YGR249W
G3	YGL162W
G4	YBR086C
G5	YGL001C
G6	YJR075W
G7	YIL099W
G8	YHR072W
G9	YOR030W
G10	YDL214C
G11	YMR011W
G12	YGL209W
G13	YNL038W
G14	YPL177C
G15	YOR282W
G16	YMR280C
G17	YKL039W
G18	YIR019C
G19	YAL054C
G20	YKL040C
G21	YPR180W
G22	YPL073C
G23	YGL158W
G24	YML099C
G25	YMR071C
G26	YMR070W
G27	YLR174W
G28	YDR343C
G29	YFL021W
G30	YEL069C
G31	YPL188W
G32	YGL004C
G33	YLR023C
G34	YDR522C
G35	YDR210W
G36	YMR258C
G37	YPL230W
G38	YMR098C
G39	YCR106W
G40	YMR106C
G41	YBR069C
G42	YKL038W
G43	YJR010CA
G44	YDL071C
G45	YCL018W
G46	YJR011C
G47	YDL152W
G48	YFL034W
G49	YDR495C
G50	YER146W
G51	YPR072W
G52	YOR302W
G53	YDR393W
G54	YLR048W
G55	YER145C
G56	YOL083W
G57	YLR042C
G58	YDR210WD
G59	YNL136W
G60	YJR054W
G61	YCR096C
G62	YJL105W
G63	YER069W
G64	YDR441C
G65	YGL206C
G66	YGR175C
G67	YML072C
G68	YIL115C
G69	YNL137C
G70	YDR319C
G71	YDR042C
G72	YGR071C
G73	YMR087W
G74	YLR302C
G75	YER044C
G76	YML116W
G77	YOR304W
G78	YGR067C
G79	YDL092W
G80	YFL026W
G81	YCR039C
G82	YKL178C
G83	YPR197C
G84	YKR040C
G85	YOR136W
G86	YNL288W
G87	YJL110C
G88	YCR097W
G89	YOR162C
G90	YGR075C
G91	YGL205W
G92	YIR005W
G93	YER065C
G94	YBR094W
G95	YOL140W
G96	YJR158W
G97	YMR257C
G98	YBR101C
G99	YMR259C
G100	YHR179W
G101	YIR029W
G102	YGR100W
G103	YNL241C
G104	YOR210W
G105	YCL066W
G106	YPL216W
G107	YHR124W
G108	YER049W
G109	YPL012W
G110	YNL117W
G111	YGL156W
G112	YER007CA
G113	YIR020WB
G114	YHR006W
G115	YMR004W
G116	YDR463W
G117	YEL004W
G118	YDR067C
G119	YPL071C
G120	YKL072W
G121	YBL104C
G122	YDR145W
G123	YOR154W
G124	YBL043W
G125	YCR105W
G126	YDR098CB
G127	YOL159C
G128	YLR265C
G129	YKL120W
G130	YKR034W
G131	YDR279W
G132	YDR101C
G133	YHR195W
G134	YKL217W
G135	YKL077W
G136	YDR416W
G137	YGR072W
G138	YOL057W
G139	YNL232W
G140	YGL056C
G141	YHR080C
G142	YPL135W
G143	YDR544C
G144	YER138C
G145	YEL046C
G146	YJL212C
G147	YGL157W
G148	YDL044C
G149	YIL013C
G150	YER190W
G151	YOL126C
G152	YKL096W
G153	YDR102C
G154	YMR194W
G155	YPR006C
G156	YKL185W
G157	YGL133W
G158	YNL267W
G159	YNR055C
G160	YDL049C
G161	YIR023W
G162	YMR227C
G163	YBR268W
G164	YOR280C
G165	YGR176W
G166	YDL182W
G167	YML081W
G168	YBR240C
G169	YGR019W
G170	YKL107W
G171	YDR371W
G172	YBR063C
G173	YOR093C
G174	YDL238C
G175	YJL173C
G176	YDL181W
G177	YLL043W
G178	YHR092C
G179	YER002W
G180	YOL089C
G181	YOL085C
G182	YBR043C
G183	YKL059C
G184	YLR047C
G185	YOL043C
G186	YAR050W
G187	YJL088W
G188	YLR082C
G189	YBR275C
G190	YKR003W
G191	YOL086C
G192	YDR047W
G193	YLL047W
G194	YPR199C
G195	YPR195C
G196	YEL050C
G197	YFL024C
G198	YJL172W
G199	YMR306W
G200	YMR086CA
G201	YIR031C
G202	YKR064W
G203	YJR100C
G204	YDL091C
G205	YDR086C
G206	YLR235C
G207	YGR271W
G208	YJL139C
G209	YGR180C
G210	YNL036W
G211	YHR157W
G212	YER133W
G213	YPL024W
G214	YDR020C
G215	YLR438W
G216	YDL171C
G217	YLR089C
G218	YOL023W
G219	YGR069W
G220	YPR039W
G221	YBR041W
G222	YLR110C
G223	YDR054C
G224	YBR168W
G225	YBR248C
G226	YDR259C
G227	YLR334C
G228	YIL119C
G229	YNL180C
G230	YLR125W
G231	YOR001W
G232	YOR180C
G233	YMR121C
G234	YLR054C
G235	YLR090W
G236	YGR142W
G237	YHL015W
G238	YBR050C
G239	YHR171W
G240	YGR218W
G241	YMR307W
G242	YMR304CA
G243	YCR095C
G244	YML113W
G245	YHR081W
G246	YEL001C
G247	YLR412CA
G248	YBR025C
G249	YBL111C
G250	YEL045C
G251	YMR150C
G252	YDR103W
G253	YDR508C
G254	YJL200C
G255	YLR154C
G256	YCL014W
G257	YDR512C
G258	YNL301C
G259	YJR094WA
G260	YLR022C
G261	YGL089C
G262	YOR113W
G263	YLL032C
G264	YNL066W
G265	YBR016W
G266	YBR097W
G267	YIL171W
G268	YLR465C
G269	YPR065W
G270	YEL060C
G271	YGR168C
G272	YOR222W
G273	YOR179C
G274	YGL116W
