"Old"	"New"
G1	G133
G2	G124
G3	G145
G4	G136
G5	G155
G6	G52
G7	G127
G8	G67
G9	G72
G10	G93
G11	G98
G12	G113
G13	G44
G14	G119
G15	G70
G16	G58
G17	G54
G18	G20
G19	G146
G20	G47
G21	G157
G22	G99
G23	G41
G24	G196
G25	G84
G26	G109
G27	G55
G28	G180
G29	G170
G30	G96
G31	G135
G32	G65
G33	G141
G34	G126
G35	G168
G36	G194
G37	G4
G38	G80
G39	G200
G40	G140
G41	G90
G42	G101
G43	G36
G44	G106
G45	G3
G46	G182
G47	G40
G48	G183
G49	G39
G50	G34
G51	G37
G52	G100
G53	G152
G54	G107
G55	G130
G56	G21
G57	G128
G58	G159
G59	G32
G60	G129
G61	G197
G62	G51
G63	G134
G64	G43
G65	G131
G66	G181
G67	G7
G68	G158
G69	G92
G70	G147
G71	G190
G72	G22
G73	G77
G74	G162
G75	G176
G76	G66
G77	G81
G78	G123
G79	G62
G80	G179
G81	G189
G82	G46
G83	G198
G84	G138
G85	G199
G86	G184
G87	G186
G88	G24
G89	G88
G90	G48
G91	G76
G92	G161
G93	G13
G94	G38
G95	G73
G96	G30
G97	G12
G98	G94
G99	G97
G100	G115
