G2	G1	1
G2	G3	1
G2	G4	1
G2	G5	1
G2	G6	1
G2	G7	1
G2	G9	1
G2	G10	1
G2	G11	1
G2	G12	1
G2	G15	1
G2	G17	1
G2	G21	1
G2	G22	1
G2	G24	1
G2	G28	1
G2	G29	1
G2	G38	1
G2	G40	1
G2	G42	1
G2	G50	1
G2	G52	1
G2	G55	1
G2	G69	1
G2	G96	1
G2	G116	1
G2	G117	1
G2	G128	1
G2	G133	1
G2	G145	1
G2	G149	1
G2	G178	1
G2	G207	1
G2	G226	1
G2	G232	1
G2	G236	1
G2	G269	1
G2	G350	1
G8	G5	1
G8	G15	1
G8	G37	1
G8	G39	1
G8	G44	1
G8	G122	1
G8	G149	1
G8	G279	1
G13	G5	1
G13	G12	1
G13	G14	1
G13	G15	1
G13	G16	1
G13	G18	1
G13	G19	1
G13	G20	1
G13	G25	1
G13	G26	1
G13	G27	1
G13	G30	1
G13	G32	1
G13	G33	1
G13	G34	1
G13	G35	1
G13	G36	1
G13	G41	1
G13	G42	1
G13	G47	1
G13	G52	1
G13	G57	1
G13	G58	1
G13	G59	1
G13	G67	1
G13	G69	1
G13	G75	1
G13	G83	1
G13	G86	1
G13	G93	1
G13	G94	1
G13	G100	1
G13	G106	1
G13	G109	1
G13	G116	1
G13	G117	1
G13	G139	1
G13	G143	1
G13	G145	1
G13	G149	1
G13	G157	1
G13	G168	1
G13	G198	1
G13	G202	1
G13	G232	1
G13	G263	1
G13	G326	1
G13	G344	1
G23	G5	1
G23	G15	1
G23	G31	1
G23	G158	1
G23	G209	1
G23	G221	1
G23	G301	1
G43	G27	1
G43	G48	1
G43	G49	1
G43	G70	1
G43	G79	1
G43	G103	1
G43	G154	1
G43	G192	1
G43	G205	1
G43	G220	1
G43	G235	1
G43	G261	1
G45	G5	1
G45	G14	1
G45	G15	1
G45	G41	1
G45	G46	1
G45	G56	1
G45	G59	1
G45	G74	1
G45	G91	1
G45	G92	1
G45	G116	1
G45	G123	1
G45	G169	1
G45	G236	1
G45	G242	1
G45	G254	1
G45	G263	1
G45	G294	1
G45	G340	1
G45	G373	1
G51	G14	1
G51	G65	1
G51	G66	1
G51	G69	1
G51	G71	1
G51	G89	1
G51	G129	1
G51	G137	1
G51	G162	1
G51	G227	1
G51	G257	1
G51	G292	1
G51	G314	1
G51	G319	1
G53	G5	1
G53	G15	1
G53	G149	1
G54	G31	1
G54	G95	1
G54	G99	1
G54	G113	1
G54	G301	1
G54	G331	1
G55	G2	1
G55	G5	1
G55	G12	1
G55	G15	1
G55	G25	1
G55	G31	1
G55	G38	1
G55	G40	1
G55	G42	1
G55	G50	1
G55	G52	1
G55	G59	1
G55	G61	1
G55	G63	1
G55	G77	1
G55	G78	1
G55	G82	1
G55	G84	1
G55	G85	1
G55	G90	1
G55	G98	1
G55	G104	1
G55	G110	1
G55	G116	1
G55	G117	1
G55	G119	1
G55	G121	1
G55	G125	1
G55	G127	1
G55	G128	1
G55	G129	1
G55	G133	1
G55	G139	1
G55	G143	1
G55	G145	1
G55	G149	1
G55	G150	1
G55	G151	1
