"G_i"	"G_j"
283	1264
226	958
226	269
161	1156
226	1429
226	931
226	866
644	1368
226	1542
958	1542
269	1429
958	1429
269	931
269	958
283	1542
866	958
958	1443
515	644
651	1009
226	1368
765	1264
29	116
29	1264
87	583
566	1443
87	226
226	1264
226	1443
515	1009
644	1264
931	958
12	710
14	269
116	161
116	283
116	1264
269	644
269	1368
283	765
644	1009
1429	1542
3	1429
3	1542
29	765
87	515
130	583
226	583
269	1542
866	931
14	226
29	1156
87	1009
226	644
515	1264
651	1542
1009	1368
29	283
87	130
161	1542
583	644
644	1295
1264	1542
3	226
116	765
226	1009
269	866
283	1443
651	914
651	1264
866	1429
1264	1368
3	958
87	644
87	1295
130	1264
269	1009
283	958
914	1492
1156	1443
3	866
29	1443
87	269
226	515
226	710
269	651
515	583
515	1368
958	1264
1009	1264
26	269
29	592
87	1264
130	1156
130	1295
226	651
226	914
226	1156
244	1264
515	1295
583	1009
644	931
914	958
1009	1295
1264	1295
14	958
87	244
87	931
130	515
130	644
161	958
180	1264
226	262
269	583
283	651
566	958
583	1264
583	1295
583	1368
651	931
731	1009
866	1542
931	1429
931	1542
1156	1542
1264	1443
3	269
14	1429
26	226
29	226
87	651
87	1368
130	226
130	269
130	1009
226	283
244	651
262	269
269	515
269	1240
269	1264
283	566
583	914
710	958
914	1264
914	1295
914	1542
931	1264
931	1368
3	651
87	1156
226	1295
244	931
244	1009
262	958
269	604
269	1295
914	1193
931	1009
931	1295
3	931
130	161
226	244
226	1240
244	515
244	583
244	644
269	914
433	515
433	644
433	1009
433	1368
515	651
515	731
515	931
566	1264
583	651
583	931
644	651
710	931
710	1429
914	931
3	914
14	26
14	931
24	867
29	161
29	180
130	651
130	914
130	931
156	1542
180	283
226	592
226	703
244	1368
269	703
269	710
283	1193
583	1156
651	1156
651	1295
651	1368
651	1443
710	866
1193	1264
1240	1264
1264	1429
1295	1368
1443	1542
3	14
14	262
14	866
26	931
26	1429
29	87
29	168
87	731
89	939
116	168
116	180
130	1368
180	226
244	269
262	1429
262	1542
269	1156
283	1429
433	1264
566	1542
644	914
914	1368
1156	1240
1240	1368
2	39
14	1542
26	866
26	958
29	583
29	866
87	914
116	226
116	958
116	1240
116	1542
130	244
130	283
156	931
161	283
161	1264
180	1240
592	866
592	1156
592	1443
644	703
644	731
703	931
703	1264
731	1295
866	1156
958	1156
1009	1542
2	130
3	710
12	1429
29	130
39	226
39	483
87	433
87	592
87	703
87	1240
116	1156
130	433
156	1429
180	765
194	914
244	1295
269	1443
283	604
283	866
283	914
433	1295
604	1542
627	939
731	1368
866	1264
914	1156
914	1443
958	1368
1009	1240
1240	1295
1368	1429
3	12
3	1156
14	1368
24	1156
26	262
26	914
26	1156
26	1542
89	627
130	194
130	731
130	1193
156	226
156	269
161	226
161	1240
161	1443
180	244
194	1295
226	433
226	566
244	433
269	283
269	433
433	583
433	651
433	931
483	1264
515	914
515	1429
566	651
583	703
583	731
583	1240
583	1492
592	765
604	914
604	1368
627	776
651	1240
703	1368
710	1542
731	1264
866	914
866	1443
914	1009
1009	1156
1193	1492
1240	1443
1295	1492
2	283
2	1264
3	156
3	283
12	226
12	958
14	710
16	372
24	914
29	244
29	372
87	1443
116	130
116	372
130	1240
156	753
156	866
156	958
167	1240
168	226
168	866
168	1156
168	1264
180	269
180	583
180	1009
180	1368
194	1492
244	703
244	914
269	753
433	731
483	627
579	1264
583	592
583	866
583	1193
604	644
604	651
644	882
644	1240
644	1429
651	703
703	1009
703	1156
776	939
866	1240
867	1156
931	1156
931	1492
939	1156
939	1542
1429	1443
2	483
2	939
2	1193
3	26
3	1368
12	29
12	42
12	283
14	914
24	29
26	161
29	867
29	1193
39	651
39	753
39	1193
42	710
87	194
87	866
87	1492
89	776
116	244
116	583
116	592
116	866
116	867
116	1193
116	1443
161	180
161	269
161	566
161	765
161	1429
167	226
168	765
168	867
168	914
168	1443
180	958
180	1443
194	283
194	583
194	1264
226	753
226	765
226	786
244	1240
262	1368
269	731
269	1492
283	579
283	592
283	931
283	939
283	1295
372	583
372	1156
372	1443
372	1542
433	1240
515	703
515	1240
566	914
566	1295
579	627
583	765
583	1443
592	1264
627	827
644	958
644	1492
651	958
703	1295
703	1542
731	1240
786	866
866	939
867	1443
914	1240
914	1429
931	1240
1009	1429
1156	1429
1240	1387
1240	1542
1264	1492
2	116
2	226
2	269
2	776
2	958
3	42
3	180
12	26
12	269
12	866
14	156
14	1156
24	116
24	168
24	958
26	180
26	283
26	703
26	1264
26	1368
29	958
29	1240
39	116
39	269
39	627
39	914
39	1264
39	1295
87	116
87	180
87	372
87	765
87	786
87	879
88	105
114	116
114	194
116	483
116	579
116	1009
116	1368
116	1387
130	372
130	483
130	879
130	1492
130	1542
156	1443
161	506
161	583
161	703
161	867
167	1156
167	1443
167	1542
168	180
168	244
168	592
168	1240
168	1542
180	592
180	651
180	703
180	715
180	1295
226	372
226	882
226	1193
226	1492
244	283
244	592
244	731
244	765
244	879
262	866
269	765
283	483
283	703
372	703
372	786
372	914
372	1240
372	1264
372	1295
433	914
566	583
566	644
566	1009
579	939
583	786
583	993
592	867
604	1240
604	1429
644	753
644	1193
644	1527
651	731
651	866
651	879
651	1429
651	1492
703	914
703	958
703	1429
710	1295
731	931
731	1156
765	867
765	1156
765	1240
765	1443
765	1542
786	931
786	1156
786	1240
866	1193
879	931
882	1443
939	1193
939	1264
958	1278
1156	1264
1156	1492
1295	1429
1368	1492
1368	1527
2	194
2	753
2	1156
3	29
3	262
3	604
3	765
3	939
3	1240
12	14
12	89
12	931
12	1264
12	1542
14	786
14	1240
24	156
24	161
24	180
24	194
24	269
24	372
24	604
24	1429
24	1443
26	156
26	651
26	710
26	1193
26	1240
26	1279
29	39
29	167
29	194
29	579
29	703
29	715
29	1542
39	87
39	283
39	579
39	583
39	703
39	765
39	827
39	931
39	939
39	1492
61	88
87	88
87	114
87	161
87	168
87	289
87	882
87	1193
87	1542
88	114
88	506
88	515
88	731
88	1009
89	579
89	827
89	993
105	506
105	826
107	866
114	130
114	515
114	583
114	731
114	1009
116	167
116	566
130	180
130	289
130	579
130	703
130	753
130	765
156	283
156	651
156	703
156	914
156	1156
161	651
161	939
167	269
167	765
167	866
168	283
168	583
180	433
180	515
180	644
180	731
180	866
180	1542
194	372
194	515
194	566
194	703
194	731
194	765
194	931
194	1009
194	1193
202	226
202	269
226	604
226	731
226	939
226	993
226	1387
244	289
244	866
244	1156
262	931
262	1240
269	786
269	1193
269	1387
280	1443
283	583
283	710
283	1240
283	1278
283	1368
289	583
289	651
289	703
289	879
289	914
289	931
289	1240
289	1264
289	1295
372	592
372	866
372	931
433	879
483	703
483	786
483	1240
515	879
519	1295
566	1156
579	827
583	867
583	879
592	882
592	1240
604	765
604	1156
604	1492
627	765
627	993
627	1193
644	866
644	879
644	993
644	1156
703	866
703	879
703	1240
703	1443
703	1492
710	914
710	1368
715	1240
731	914
753	931
753	1542
765	866
765	958
765	1193
776	993
786	914
827	939
866	882
866	1009
867	1542
879	914
879	1009
879	1240
879	1264
879	1295
879	1368
882	958
914	993
931	939
958	1009
958	1240
993	1156
1009	1443
1156	1193
1156	1278
1156	1295
1156	1368
1156	1387
1193	1295
1193	1542
1368	1542
2	24
2	29
2	87
2	89
2	566
2	579
2	627
2	703
2	765
2	827
2	914
2	931
2	1295
2	1443
2	1492
2	1502
3	24
3	116
3	161
3	703
3	786
3	1009
3	1193
3	1264
3	1387
12	87
12	116
12	372
12	519
12	627
12	776
12	786
12	939
12	993
12	1278
12	1295
12	1443
14	161
14	604
14	703
14	765
14	1009
16	1542
24	26
24	130
24	226
24	283
24	583
24	644
24	715
24	731
24	1009
24	1264
24	1295
24	1368
24	1542
26	386
26	765
26	786
26	939
26	1295
29	107
29	262
29	280
29	483
29	786
29	882
29	931
29	1009
29	1387
39	156
39	161
39	194
39	372
39	566
39	866
39	867
39	958
39	1156
39	1443
39	1502
39	1542
42	958
42	1429
61	87
61	114
61	130
61	194
61	416
61	515
61	583
61	731
61	1009
87	167
87	283
87	483
87	566
87	710
87	753
87	867
88	130
88	194
88	416
88	583
89	1193
105	416
105	1542
107	226
107	592
107	1295
107	1429
107	1542
114	283
114	1264
116	269
116	703
116	715
116	786
116	1429
116	1502
116	1527
130	786
130	958
130	1443
156	161
156	180
156	583
156	644
156	710
161	167
161	168
161	372
161	866
161	1009
161	1278
161	1368
161	1387
167	168
167	262
167	372
167	583
167	592
167	786
167	867
167	1264
168	372
168	566
168	715
168	786
168	958
168	1009
168	1429
180	262
180	914
180	931
180	1156
180	1429
194	269
194	280
194	592
194	644
194	753
194	993
194	1443
202	283
202	958
202	1264
226	386
226	715
226	867
226	879
226	1278
244	372
244	483
244	786
244	1492
262	283
262	715
262	914
262	1009
262	1156
262	1264
262	1443
269	566
269	627
269	879
269	882
269	939
280	703
283	372
283	1009
283	1156
283	1502
289	372
289	433
289	483
289	515
289	579
289	644
289	731
289	786
289	1009
289	1156
289	1368
289	1492
372	483
372	651
372	765
372	867
372	879
372	1009
372	1492
386	506
386	1429
416	826
416	1295
433	703
433	1429
483	579
483	583
483	644
483	651
483	765
483	827
483	879
483	914
483	931
483	1156
483	1193
483	1295
483	1492
483	1502
506	958
519	710
566	604
566	765
566	1040
566	1368
566	1492
572	1009
579	583
579	765
579	776
579	958
579	1295
579	1429
579	1443
583	604
583	627
583	882
583	939
583	1502
583	1542
592	786
592	1009
592	1542
604	731
604	866
604	958
604	1009
604	1193
604	1264
604	1387
604	1502
604	1527
627	1240
644	710
644	1443
644	1502
651	753
651	786
651	939
651	1193
651	1278
651	1387
703	731
703	753
703	786
703	993
710	786
710	882
710	1264
710	1278
715	1156
715	1443
731	879
753	914
753	1193
753	1295
753	1429
753	1492
765	786
765	939
765	1009
765	1502
776	827
776	1156
786	867
786	879
786	1264
786	1295
786	1429
786	1443
786	1492
786	1542
866	867
867	914
867	958
867	1240
867	1429
879	1156
879	1492
882	931
882	1429
914	1387
914	1502
914	1527
931	1193
931	1387
931	1443
939	958
939	1429
958	993
993	1295
993	1368
1009	1387
1040	1443
1193	1368
1193	1387
1193	1502
1240	1492
1264	1502
1295	1443
1368	1387
1368	1502
1387	1443
1429	1492
1492	1502
2	26
2	156
2	161
2	262
2	583
2	644
2	651
2	866
2	882
2	1429
2	1542
3	16
3	39
3	87
3	105
3	168
3	202
3	244
3	289
3	372
3	566
3	579
3	583
3	592
3	644
3	715
3	753
3	867
3	1443
12	16
12	130
12	156
12	161
12	194
12	202
12	262
12	280
12	289
12	566
12	583
12	592
12	703
12	753
12	765
12	861
12	882
12	914
12	1156
12	1193
12	1279
14	29
14	105
14	168
14	202
14	386
14	506
14	627
14	939
14	1492
16	39
16	116
16	156
16	161
16	226
16	269
16	710
16	1279
24	39
24	262
24	386
24	651
24	703
24	866
24	993
24	1193
24	1279
26	89
26	105
26	116
26	130
26	194
26	202
26	416
26	506
26	566
26	604
26	627
26	715
26	731
26	776
26	1009
26	1278
26	1387
26	1492
29	156
29	269
29	627
29	651
29	710
29	753
29	861
29	914
29	939
29	993
39	89
39	107
39	130
39	515
39	519
39	592
39	644
39	882
42	226
42	289
42	703
42	1278
42	1542
61	105
61	644
61	826
61	939
87	89
87	156
87	262
87	416
87	715
87	861
87	939
87	958
87	993
87	1278
88	116
88	283
88	386
88	826
88	939
88	1264
88	1279
88	1295
89	116
89	161
89	283
89	483
89	765
89	866
89	1240
89	1264
105	156
105	161
105	226
105	262
105	269
105	386
105	866
105	931
105	939
105	1279
105	1429
107	180
107	244
107	269
107	372
107	583
107	882
107	958
107	1443
114	161
114	168
114	416
114	644
114	703
114	867
114	993
114	1240
114	1429
114	1443
116	194
116	262
116	280
116	416
116	627
116	644
116	651
116	914
116	939
116	1545
130	167
130	168
130	262
130	280
130	566
130	715
130	866
130	939
130	993
130	1278
130	1527
156	168
156	194
156	202
156	262
156	372
156	579
156	867
156	939
156	1193
156	1240
156	1264
156	1295
156	1368
156	1492
161	262
161	280
161	604
161	715
161	914
161	931
161	1193
161	1295
161	1502
161	1527
167	180
167	280
167	283
167	604
167	651
167	715
167	958
167	1368
167	1387
168	269
168	579
168	627
168	651
168	939
168	1193
168	1295
168	1368
168	1527
180	194
180	280
180	289
180	372
180	579
180	604
180	867
180	879
180	882
180	1278
194	226
194	244
194	604
194	627
194	866
194	867
194	939
194	1240
194	1368
194	1429
194	1527
202	572
202	579
202	786
202	866
202	931
202	1429
202	1443
226	280
226	289
226	506
226	579
226	861
226	1279
244	566
244	715
244	958
262	280
262	386
262	506
262	592
262	604
262	651
262	765
262	1278
262	1387
262	1492
269	280
269	289
269	372
269	386
269	506
269	579
269	715
269	867
269	1278
269	1279
280	283
280	372
280	566
280	715
280	753
280	765
280	931
280	958
280	1156
280	1240
280	1264
280	1387
283	416
283	506
283	627
283	644
283	715
283	867
283	882
283	1279
283	1387
283	1492
283	1527
289	710
289	1429
372	433
372	515
372	579
372	604
372	644
372	710
372	715
372	731
372	753
372	882
372	1279
372	1368
386	866
386	958
386	1193
386	1279
386	1368
416	515
416	644
416	731
416	1009
416	1264
433	483
433	566
433	786
433	1156
433	1492
483	515
483	519
483	731
483	776
483	882
483	939
483	1009
483	1368
506	566
506	1156
506	1264
506	1278
506	1279
506	1368
506	1429
506	1527
515	566
515	786
515	1156
515	1193
515	1387
515	1492
519	583
519	627
519	644
519	866
519	882
519	939
519	1193
554	644
566	592
566	703
566	710
566	866
566	931
566	993
566	1193
566	1429
566	1527
579	604
579	644
579	882
579	1009
579	1193
579	1240
579	1527
579	1542
583	715
583	753
583	958
583	1429
583	1527
592	627
592	651
592	710
592	715
592	861
592	939
592	958
592	993
592	1193
604	627
604	867
604	1295
604	1443
627	644
627	651
627	866
627	867
627	1264
627	1278
627	1279
627	1410
627	1527
644	776
644	786
644	939
644	1278
651	715
651	1279
651	1410
703	715
703	765
703	939
703	1193
703	1278
710	861
710	1156
710	1193
710	1279
710	1443
715	765
715	866
715	867
715	958
715	1009
715	1264
731	786
731	1387
731	1492
753	866
753	1009
