G83	G97	+
G83	G63	+
G83	G85	-
G25	G33	-
G25	G34	+
G25	G15	-
G57	G36	-
G57	G61	-
G57	G63	-
G90	G51	+
G90	G47	-
G90	G16	+
G9	G58	-
G9	G67	+
G9	G13	-
G9	G14	-
G9	G31	-
G9	G20	+
G9	G17	+
G9	G36	-
G9	G32	-
G9	G45	+
G9	G54	+
G9	G56	-
G9	G26	+
G9	G30	-
G9	G69	-
G9	G43	+
G9	G62	+
G9	G51	+
G9	G47	+
G9	G27	+
G9	G8	+
G9	G11	-
G9	G10	-
G9	G18	-
G9	G41	-
G9	G50	+
G9	G42	+
G9	G19	+
G9	G22	+
G9	G16	-
G9	G12	+
G9	G37	+
G9	G34	+
G9	G15	-
G60	G20	+
G60	G17	-
G60	G84	-
G60	G65	+
G60	G51	+
G60	G47	+
G2	G6	+
G2	G1	-
G2	G3	+
G2	G4	-
G2	G8	-
G2	G7	-
G2	G5	+
G21	G52	+
G21	G44	+
G21	G31	+
G21	G29	-
G21	G8	+
G21	G92	-
G21	G19	+
G21	G28	+
G21	G24	+
G21	G46	-
G38	G52	+
G38	G36	+
G38	G32	-
G100	G82	-
G100	G83	-
G100	G36	+
G100	G32	-
G100	G62	+
G100	G64	-
G100	G51	-
G100	G66	+
G100	G16	-
G100	G37	+
G72	G58	+
G72	G67	+
G72	G13	-
G72	G91	+
G72	G78	-
G72	G82	-
G72	G83	-
G72	G20	+
G72	G17	-
G72	G36	-
G72	G32	+
G72	G57	-
G72	G45	-
G72	G74	+
G72	G56	-
G72	G55	-
G72	G49	-
G72	G95	+
G72	G43	+
G72	G62	+
G72	G51	-
G72	G47	-
G72	G98	-
G72	G89	-
G72	G99	+
G72	G73	-
G72	G94	-
G72	G93	-
G72	G76	+
G72	G88	-
G72	G79	+
G72	G96	+
G72	G18	+
G72	G59	+
G72	G77	-
G72	G41	+
G72	G50	-
G72	G42	+
G72	G19	-
G72	G16	-
G72	G12	+
G72	G37	+
G35	G80	+
G35	G20	+
G35	G17	-
G35	G57	+
G35	G55	-
G35	G49	+
G35	G68	+
G35	G59	+
G35	G39	-
G35	G19	+
G35	G22	+
G75	G20	-
G75	G17	+
G75	G81	+
G75	G86	+
G40	G67	-
G40	G62	+
G40	G64	-
G40	G51	+
G40	G48	-
G40	G70	-
G40	G66	-
G40	G16	-
G40	G12	+
G40	G37	+
G87	G55	-
G53	G71	+
G53	G38	-
G23	G51	+
G23	G47	+
G23	G16	-
