"G_i"	"G_j"
22	72
2	22
8	22
8	72
2	72
2	8
2	115
22	115
22	168
2	64
2	140
8	115
8	140
22	140
64	72
72	115
72	140
115	140
72	168
8	64
22	64
22	129
72	129
174	187
2	41
2	48
8	41
8	48
22	41
22	48
41	48
41	72
48	72
72	157
2	129
2	157
2	198
8	80
8	129
22	80
22	174
22	176
41	64
41	115
41	129
41	140
48	64
48	115
48	129
48	140
64	84
64	129
72	80
72	84
72	176
80	115
112	168
115	174
128	174
129	168
129	176
168	176
2	112
2	124
2	149
2	174
8	124
8	128
8	157
8	174
22	128
22	152
22	157
22	186
22	198
64	115
64	124
64	140
64	157
72	112
72	124
72	128
72	152
72	174
80	128
80	157
80	174
115	128
115	129
115	198
124	157
128	187
128	198
129	140
149	174
149	187
152	168
157	168
168	186
174	198
