"Old"	"New"
G1	G574
G2	G644
G3	G1583
G4	G771
G5	G608
G6	G1294
G7	G1078
G8	G1456
G9	G1083
G10	G566
G11	G1171
G12	G595
G13	G1357
G14	G249
G15	G636
G16	G872
G17	G1042
G18	G668
G19	G900
G20	G795
G21	G509
G22	G268
G23	G1366
G24	G711
G25	G880
G26	G385
G27	G691
G28	G302
G29	G803
G30	G694
G31	G1300
G32	G815
G33	G945
G34	G87
G35	G809
G36	G703
G37	G789
G38	G1516
G39	G660
G40	G890
G41	G538
G42	G1212
G43	G1172
G44	G927
G45	G143
G46	G1040
G47	G756
G48	G738
G49	G775
G50	G274
G51	G145
G52	G1077
G53	G529
G54	G917
G55	G707
G56	G397
G57	G1091
G58	G719
G59	G1403
G60	G1574
G61	G333
G62	G621
G63	G321
G64	G682
G65	G512
G66	G1009
G67	G507
G68	G1097
G69	G1439
G70	G1046
G71	G269
G72	G1506
G73	G783
G74	G845
G75	G1044
G76	G642
G77	G589
G78	G356
G79	G1000
G80	G210
G81	G1448
G82	G1453
G83	G340
G84	G913
G85	G244
G86	G1054
G87	G677
G88	G716
G89	G1497
G90	G935
G91	G571
G92	G1093
G93	G1391
G94	G1029
G95	G1351
G96	G126
G97	G548
G98	G915
G99	G1537
G100	G1034
G101	G825
G102	G301
G103	G791
G104	G371
G105	G672
G106	G664
G107	G553
G108	G596
G109	G136
G110	G768
G111	G1572
G112	G317
G113	G696
G114	G737
G115	G750
G116	G603
G117	G1483
G118	G378
G119	G1135
G120	G901
G121	G204
G122	G1426
G123	G1376
G124	G1260
G125	G1049
G126	G1500
G127	G1415
G128	G291
G129	G922
G130	G167
G131	G433
G132	G1302
G133	G852
G134	G940
G135	G453
G136	G444
G137	G150
G138	G993
G139	G20
G140	G679
G141	G179
G142	G873
G143	G916
G144	G511
G145	G1184
G146	G409
G147	G799
G148	G1180
G149	G1187
G150	G1038
G151	G1183
G152	G250
G153	G1160
G154	G997
G155	G373
G156	G893
G157	G605
G158	G925
G159	G112
G160	G651
G161	G392
G162	G1048
G163	G505
G164	G503
G165	G1099
G166	G125
G167	G508
G168	G787
G169	G432
G170	G746
G171	G327
G172	G17
G173	G728
G174	G157
G175	G667
G176	G149
G177	G339
G178	G982
G179	G279
G180	G1443
G181	G1318
G182	G1436
G183	G33
G184	G176
G185	G910
G186	G337
G187	G1331
G188	G38
G189	G479
G190	G1039
G191	G399
G192	G743
G193	G1233
G194	G1419
