"Time"	G1	G2	G3	G4	G5	G6	G7	G8	G9	G10

0	0.5023348	0.3193638	0.6126040	0.6467326	0.6359812	0.2526163	0.1729487	0.7501596	0.6020711	0.8196383
50	0.6212179	0.6555010	0.6338491	0.4709525	0.2890748	0.2812593	0.2299669	0.7340722	0.7489934	0.8403287
100	0.3444126	0.5885988	0.5456899	0.4356421	0.1487545	0.2661794	0.2764891	0.8399529	0.8084914	0.7872097
150	0.4354549	0.6428919	0.6327323	0.4958348	0.1946452	0.1714617	0.3307942	0.7246411	0.8083817	0.7643427
200	0.3503344	0.7293503	0.4681168	0.5706501	0.1455717	0.2080516	0.4540793	0.6946138	0.8525342	0.8181842
250	0.2945061	0.5754758	0.5463175	0.5159017	0.1505405	0.1532451	0.2764288	0.7751490	0.6288144	0.8171487
300	0.2540320	0.8080953	0.3995948	0.5089293	0.1102518	0.2034353	0.3689357	0.6755446	0.7763467	0.6093587
350	0.2930147	0.6459071	0.4064806	0.5329734	0.2404657	0.1599659	0.3187710	0.8538706	0.7757167	0.6164361
400	0.2260962	0.7576354	0.4158274	0.5668201	0.2646465	0.1733245	0.4897856	0.9330846	0.6997706	0.6494057
450	0.1656701	0.7085508	0.4396475	0.5401963	0.1902479	0.1789598	0.4856943	0.7062317	0.7065058	0.7837723
500	0.1927655	0.7184112	0.3540627	0.6087727	0.1735209	0.1714488	0.4239268	0.7890011	0.9336407	0.8512973
550	0.1211272	0.4926639	0.4496566	0.4238363	0.4362563	0.1638358	0.3347097	0.8169697	0.8090434	0.6745993
600	0.2055890	0.4948496	0.4332624	0.5700027	0.6014042	0.1741504	0.3200524	0.8173706	0.7796382	0.7572990
650	0.2742354	0.4262746	0.3921666	0.5483911	0.6488247	0.2200850	0.3555615	0.8078770	0.7730890	0.7842315
700	0.2732148	0.2361282	0.4696321	0.4855465	0.6240464	0.1853532	0.2511649	0.7693974	0.7706027	0.7025624
750	0.3093783	0.3486215	0.4511920	0.5484380	0.6233548	0.1993187	0.3019879	0.9469067	0.9127658	0.7140366
800	0.2475637	0.4208786	0.4894341	0.6471142	0.7122069	0.2419841	0.2702663	0.8992024	0.8652714	0.7576331
850	0.3385784	0.2832921	0.4626663	0.6040547	0.7697137	0.2137234	0.2474436	0.8396404	0.7540797	0.7060334
900	0.3955127	0.3223105	0.4303470	0.5419029	0.6800866	0.2531608	0.2067498	0.7939662	0.7509480	0.7561189
950	0.4275563	0.4389935	0.4720484	0.5764810	0.5299500	0.2444613	0.3464389	0.6627284	0.7621754	0.9045312
1000	0.4421239	0.3772538	0.5290401	0.4887224	0.7739115	0.1795522	0.1784504	0.6595853	0.8073657	0.9625695

0	0.5491483	0.2939824	0.4772937	0.4878349	0.5813282	0.2155361	0.2036925	0.7847550	0.7876028	0.8328377
50	0.4519892	0.2885906	0.5555374	0.5503558	0.7135216	0.2797504	0.1022388	0.6919611	0.8022369	0.6253864
100	0.7104773	0.2487354	0.6013671	0.4675078	0.7392243	0.2133076	0.0450909	0.7150380	0.7659117	0.7576507
150	0.6558751	0.3361308	0.5084236	0.6133505	0.5111298	0.2706007	0.0488392	0.7234929	0.8183351	0.6335708
200	0.7262080	0.2559283	0.6686672	0.4368892	0.6245182	0.2663754	0.0267678	0.5878971	0.8364986	0.7333814
250	0.8296082	0.2692356	0.6162830	0.3464894	0.4659267	0.2455257	0.0407006	0.5761210	0.8803680	0.7944902
300	0.7698140	0.2743551	0.5203098	0.4045814	0.5571479	0.1732991	0.0481218	0.5637859	0.7623663	0.7489495
350	0.8180852	0.2377022	0.5098791	0.4758021	0.6282251	0.2629569	0.0355215	0.6389458	0.8792868	0.7207587
400	0.8621640	0.3015066	0.4815186	0.4176203	0.6909712	0.3189922	0.0144387	0.5683435	0.7908879	1.0000000
450	0.7320326	0.3288299	0.5297328	0.4850434	0.5576386	0.2264518	0.0168482	0.6829805	0.7956757	0.6897026
500	0.7652325	0.2823989	0.5417188	0.3482473	0.6238780	0.2870755	0.0272109	0.5482629	0.7534774	0.7525252
550	0.7394118	0.2539944	0.6115689	0.5457668	0.7291368	0.3412602	0.1729957	0.2669190	0.7184742	0.8107739
600	0.6432262	0.3496183	0.6371496	0.4483334	0.6147433	0.2970206	0.1778749	0.2974713	0.7446157	0.5686311
650	0.4970861	0.3063596	0.6014884	0.5464925	0.5366289	0.2476284	0.2435981	0.5409555	0.8498611	0.7085152
700	0.4612660	0.3648159	0.5335602	0.4131079	0.5626988	0.2277469	0.2123888	0.6602431	0.8889017	0.9516277
750	0.4074185	0.2998848	0.5823177	0.4614651	0.6429724	0.3020995	0.3177492	0.8372850	0.7677399	0.7921781
800	0.3133649	0.3330801	0.6157838	0.3710634	0.5913281	0.2623024	0.2641155	0.6042979	0.7575765	0.8450606
850	0.4857175	0.2568573	0.5970905	0.4305392	0.5825838	0.2849049	0.2016620	0.9470708	0.7831111	0.9297550
900	0.4918350	0.2880545	0.5914918	0.5293962	0.6678650	0.3172236	0.2273330	0.7883356	0.8666883	0.7471899
950	0.5302497	0.3451286	0.6885412	0.4320787	0.6530382	0.2905206	0.1666566	0.5791899	0.5587961	0.6933726
1000	0.4744625	0.2899952	0.5273244	0.4594337	0.8028321	0.3298126	0.2102400	0.5262529	0.8065224	0.7386775

0	0.5023387	0.3211813	0.5417179	0.4874902	0.5552548	0.2390220	0.2209760	0.8190829	0.7255320	0.8498668
50	0.4594766	0.3267206	0.6986905	0.5187907	0.5903431	0.2377720	0.1794855	0.7243634	0.7566858	0.6919907
100	0.3960481	0.2659928	0.7510286	0.5345906	0.4135851	0.2365420	0.1640730	0.8592200	0.6488699	0.6476080
150	0.3531691	0.2104948	0.7677457	0.5517714	0.3383097	0.2618132	0.2530655	0.7277062	0.7786050	0.7527697
200	0.4520641	0.2128574	0.7621159	0.4837715	0.3711426	0.3130788	0.1551036	0.6202674	0.8287559	0.8376099
250	0.4122073	0.1719457	0.7924976	0.4189090	0.2861508	0.3420641	0.1746194	0.6567218	0.8005866	0.8545642
300	0.3507485	0.1526376	0.7282510	0.4306509	0.2237369	0.3764094	0.1935112	0.7197311	0.7271309	0.9102947
350	0.4347209	0.1861327	0.7880877	0.4694136	0.3648696	0.4895561	0.2588812	0.7320163	0.8944503	0.7588596
