G1	G2	G3	G4	G5	G6	G7	G8	G9	G10
0.0000000	0.4906711	0.2986262	0.4175186	0.7038168	0.3332433	0.6623133	0.5883683	0.6428228	0.7102716
0.7087587	0.0000000	0.3582176	0.5741496	0.1509693	0.2971622	0.6232836	0.6452325	0.5925982	0.7131442
0.7216502	0.1093719	0.0000000	0.4251174	0.0979330	0.4306511	0.6989313	0.8008131	0.7653304	0.6541313
0.7646299	0.1214132	0.6775652	0.0000000	0.1342482	0.3640095	0.1562960	0.6155898	0.7061025	0.8502692
0.6209098	0.0881797	0.4056820	0.7687758	0.0000000	0.2728111	0.4542992	0.8013907	0.7418517	0.5892698
0.6987808	0.4562181	0.3011806	0.5793804	0.1530332	0.0000000	0.5349608	0.6785576	0.6694290	0.6711214
0.8048822	0.0787628	0.2653084	0.3535441	0.0824306	0.3667848	0.0000000	0.5828932	0.6841040	0.6085826
0.6612432	0.2643036	0.3646610	0.6193634	0.1328241	0.8123898	0.5385531	0.0000000	0.7755032	0.8180250
0.7225704	0.1140727	0.2206752	0.4107281	0.1800923	0.3422611	0.5923289	0.7750506	0.0000000	0.0458114
0.6898134	0.1193530	0.2926733	0.4339390	0.1335749	0.3119683	0.6133954	0.7757411	0.6854088	0.0000000
