G1	G2	G3	G4	G5	G6	G7	G8	G9	G10
0.2717979	0.5728545	0.5795726	0.1728394	0.0672279	0.0408466	0.0107713	0.6263302	0.4305029	0.8175418
0.4128281	0.7640215	0.6676849	0.0190838	0.0195299	0.0049384	0.0148416	0.8252121	0.5950605	0.7507658
0.4975922	0.5205739	0.2056700	0.3989358	0.0013230	0.1483417	0.0250005	0.4551704	0.1869270	0.4771269
0.6976751	0.3554878	0.3177255	0.3325623	0.1149113	0.1488820	0.0510984	0.4724039	0.2175083	0.6141647
0.5076637	0.6228935	0.5592843	0.0472655	0.0009581	0.2374941	0.0810517	0.1033813	0.5847736	0.7846463
0.3916388	0.5910674	0.4459578	0.1284364	0.6454843	0.7688441	0.3670239	0.0886092	0.5402133	0.7002052
0.2074255	0.8030756	0.3743344	0.1360747	0.0006393	0.0002957	0.0085806	0.7841081	0.6781399	0.6953210
0.2846182	0.9200622	0.6345844	0.1253594	0.0014837	0.0002587	0.0247689	0.7430414	0.6011055	0.8368173
0.3113159	0.4987671	0.4619441	0.1738715	0.1389037	0.2382438	0.0653308	0.2194802	0.4762394	0.6852364
0.2053335	0.6535274	0.3244842	0.0860807	0.3990149	0.6169483	0.3485153	0.0911526	0.7273065	0.6998088
