"Time"	G1	G2	G3	G4	G5	G6	G7	G8	G9	G10

0	0.7027460	0.1694128	0.6583830	0.8236434	0.0964288	0.7335171	0.0679491	0.8203398	0.7277911	0.8906029
50	0.6539649	0.2338776	0.7105372	0.6141454	0.2829322	0.4650664	0.3869281	0.8637704	0.8602004	0.7968841
100	0.6360598	0.3634628	0.6362916	0.7377136	0.2251754	0.3654448	0.3494198	0.7919839	0.6895236	0.6249715
150	0.9586287	0.3937312	0.6147433	0.7391381	0.2233063	0.2588708	0.4977357	0.5887014	0.7953191	0.7334588
200	0.7209481	0.4135469	0.7257505	0.6589531	0.2621641	0.2344292	0.4764566	0.5825232	0.8905180	0.7989907
250	0.8055706	0.2245572	0.7427939	0.6866631	0.1529428	0.2344403	0.4723679	0.5763064	0.7714012	0.7615548
300	0.7932483	0.2391894	0.6937610	0.7690641	0.1755182	0.1602642	0.4198321	0.5655182	0.7733483	0.7048390
350	0.8387557	0.3110904	0.7276715	0.8243719	0.2320603	0.1718606	0.4732309	0.7005229	0.8846904	0.8204484
400	0.8175002	0.2344942	0.6580308	0.7336044	0.2246577	0.2032964	0.4848743	0.7550930	0.6811393	0.7415956
450	0.7693431	0.2467448	0.8258043	0.7848839	0.1802781	0.2003010	0.5073946	0.6567413	0.6871184	0.7762163
500	0.8492602	0.2910018	0.7715010	0.7117775	0.1828379	0.1552472	0.5070409	0.8568593	0.7166445	0.8553571
550	0.8114951	0.2187006	0.7486796	0.7728502	0.1636620	0.3199767	0.2416219	0.6520476	0.6948296	0.8418484
600	0.7254837	0.0800377	0.8296453	0.6771809	0.0674887	0.3660400	0.1182746	0.7381151	0.8978985	0.7577235
650	0.8249005	0.0982218	0.8042515	0.7184813	0.1695403	0.4993640	0.0937757	0.7316561	0.8297013	0.7689933
700	0.8031090	0.1326285	0.6428728	0.7775965	0.1739621	0.5738219	0.0933876	0.7222562	0.7399020	0.8827655
750	0.6213511	0.2293770	0.8752055	0.6773282	0.1314291	0.6550804	0.0547911	0.8156948	0.7359406	0.6188453
800	0.6994484	0.1603133	0.7546538	0.7318646	0.0811161	0.6458796	0.0543722	0.7296856	0.8307703	0.7568607
850	0.6622711	0.0808000	0.6847530	0.7635029	0.1004505	0.7172201	0.0737223	0.7700085	0.6205804	0.7162649
900	0.7258136	0.0959047	0.6410608	0.8886902	0.2287141	0.7385720	0.0602216	0.7545405	0.7413557	0.8462904
950	0.6853571	0.2855557	0.7570880	0.9479526	0.2128291	0.7033599	0.0226439	0.7567205	0.6696342	0.7668520
1000	0.7130616	0.1918989	0.8028623	0.6887611	0.0966441	0.7867156	0.1067078	0.7741522	0.7316983	0.7153795

0	0.6321717	0.1878420	0.8038250	0.7551102	0.0953494	0.7816426	0.1068007	0.8962388	0.7593622	0.7211420
50	0.7541781	0.4082621	0.5792485	0.7987073	0.1073299	0.6834698	0.3891902	0.3874273	0.4429708	0.7167892
100	0.7757351	0.3939894	0.8282563	0.7745967	0.0999148	0.4846732	0.6593753	0.2033337	0.4587599	0.7209346
150	0.9445855	0.4750805	0.7730591	0.6634387	0.1138829	0.4022082	0.5605460	0.2134782	0.5451082	0.6666595
200	0.6576926	0.5046633	0.7633735	0.7000715	0.0983936	0.3333537	0.8252825	0.1883054	0.4904117	0.6663869
250	0.8304382	0.5676328	0.6752957	0.7033002	0.0915349	0.3307853	0.6098766	0.1041012	0.5558093	0.7830387
300	0.7748521	0.4753076	0.7910631	0.9127145	0.1154903	0.3734039	0.5343726	0.1737494	0.4669571	0.7856315
350	0.7206063	0.5477394	0.5233126	0.7267606	0.0923121	0.2725663	0.8149862	0.2042507	0.4304178	0.7825381
400	0.6874222	0.5072428	0.7419618	0.6822749	0.0628388	0.4344971	0.6613429	0.2110794	0.4436862	0.7586795
450	0.7121318	0.4624852	0.8455148	0.7542642	0.1018438	0.3413449	0.6951039	0.1682623	0.5178092	0.6724454
500	0.7408036	0.6384939	0.9068031	0.7481588	0.1306418	0.2783313	0.6160001	0.1601255	0.4759975	0.7238320
550	0.7969864	0.2403654	0.7172907	0.6580736	0.1437094	0.3852491	0.4953417	0.4262437	0.7241228	0.8123059
600	0.7255192	0.1187808	0.6806420	0.7552555	0.0423632	0.3105182	0.2903238	0.5916910	0.6648683	0.8052079
650	0.6574199	0.0260974	0.7186842	0.7322972	0.1469151	0.4011728	0.2635906	0.7683933	0.6919631	0.7953968
700	0.9657305	0.0471853	0.8802576	0.8349368	0.1892549	0.5698407	0.1129544	0.6066720	0.6350751	0.6858531
750	0.7562857	0.2976638	0.7336282	0.7039119	0.2563627	0.5942774	0.0820118	0.6626231	0.7829188	0.7236353
800	0.6732244	0.2429064	0.6365325	0.7547876	0.1104795	0.6688945	0.1109399	0.6420508	0.8291339	0.6535397
850	0.6918986	0.1385561	0.6120882	0.9258331	0.0681320	0.8686662	0.1499577	0.7735557	0.8526233	0.7452358
900	0.7528633	0.0930985	0.7685109	0.8092663	0.0678448	0.6650849	0.1175606	0.7288994	0.8208937	0.8434010
950	0.8284364	0.0799449	0.8006086	0.8002197	0.1236547	0.6844783	0.0826748	0.8067749	0.7079748	0.7937033
1000	0.8250109	0.0626070	0.6497463	0.7846091	0.1873859	0.7011131	0.0574814	0.7887092	0.8009343	0.8511979

0	0.7611185	0.1180960	0.8069836	0.8624740	0.0907583	0.7468317	0.0951866	0.7582997	0.6683982	0.8054920
50	0.7540053	0.2411075	0.6463798	0.7689178	0.2614147	0.6823863	0.0559114	0.4141132	0.7089707	0.4852591
100	0.6251154	0.3770586	0.6670306	0.7992142	0.2609382	0.7304413	0.0575783	0.3122542	0.9097925	0.3084456
150	0.7210774	0.4862403	0.6376937	0.6923075	0.3241033	0.7364815	0.1429470	0.2811955	0.6750693	0.3206956
200	0.6802586	0.4276422	0.6520136	0.6202646	0.2705229	0.6789168	0.2315781	0.1881656	0.7466837	0.3433101
250	0.7026316	0.3299017	0.6410058	0.7896584	0.2754812	0.5886525	0.2344796	0.1998127	0.7604068	0.3256895
300	0.6570722	0.3626158	0.6087232	0.7848279	0.2803860	0.5382991	0.3122236	0.2392037	0.7724944	0.3268033
350	0.6429825	0.3292777	0.8093812	0.8111146	0.2373595	0.4824000	0.2823191	0.2503755	0.6109544	0.3003824
400	0.6642985	0.4146676	0.6775076	0.8490600	0.2389504	0.4721986	0.3357296	0.1828371	0.7684274	0.2625492
450	0.8454557	0.4773645	0.6312783	0.7296403	0.3087979	0.4516121	0.2466917	0.1930512	0.8010464	0.3384682
500	0.8381808	0.4681104	0.7441605	0.8343624	0.2226789	0.4900451	0.2671230	0.1908590	0.7584677	0.3413768
550	0.6184212	0.2792067	0.6630121	0.8369977	0.0728625	0.4405058	0.2909769	0.4262920	0.7173382	0.6631875
600	0.6600977	0.1046368	0.8001257	0.7262634	0.0461492	0.5915893	0.2649368	0.5782180	0.8339972	0.7533762
650	0.5865956	0.0480406	0.5937339	0.7580298	0.1005091	0.5459964	0.1725760	0.5401404	0.7493424	0.7925386
700	0.7613700	0.0534600	0.6267856	0.6153511	0.3361961	0.5428726	0.1193588	0.6795708	0.7005579	0.7386680
750	0.7765189	0.3151454	0.7678431	0.7163399	0.2597455	0.6946899	0.0816431	0.6680168	0.6972295	0.7370569
800	0.7708044	0.2946179	0.5516681	0.7866533	0.1030324	0.6563003	0.1026835	0.6023223	0.6093891	0.7784638
850	0.7835707	0.1543018	0.7432759	0.6916416	0.0769703	0.8511746	0.1278161	0.8577878	0.8435379	0.7621629
900	0.7646779	0.0592208	0.6398624	0.6678201	0.0657941	0.6774780	0.0936589	0.6061554	0.6771653	0.7523426
950	0.7350657	0.0711366	0.7290661	0.6837884	0.2348698	0.6847867	0.1047956	0.7215189	0.7148987	0.8401347
1000	0.6290981	0.1837833	0.7029182	0.8207172	0.2158890	0.6851235	0.0757293	0.7641464	0.7474926	0.7540359

0	0.6864363	0.1725021	0.6921570	0.8180027	0.0941163	0.7653990	0.0635644	0.9264414	0.6921010	0.8007299
50	0.6943550	0.1796957	0.6478961	0.8200157	0.2138164	0.7311820	0.0356067	0.5507170	0.4676413	0.4708609
100	0.7456681	0.1513805	0.6855213	0.7476946	0.1290754	0.7306133	0.0983688	0.6673080	0.4118844	0.3662059
150	0.7365276	0.1137614	0.6954634	0.7109282	0.1619136	0.7011855	0.1123661	0.5828773	0.4342346	0.3822229
200	0.8091276	0.1176185	0.6935482	0.8281053	0.1648857	0.6003926	0.1193310	0.6701754	0.3978844	0.3417164
250	0.7628132	0.1908296	0.5056536	0.8398483	0.1575549	0.6601857	0.0946003	0.6697708	0.4061686	0.3549341
300	0.6191709	0.2209492	0.6053391	0.7224531	0.1249165	0.6932492	0.0803309	0.5728523	0.5301948	0.3601809
350	0.9941672	0.1816149	0.6080456	0.8317005	0.1619942	0.6511434	0.1379813	0.6494849	0.5136131	0.3783080
400	0.6334440	0.2083415	0.6278141	0.6211887	0.1414996	0.7683822	0.0868471	0.6528040	0.4741089	0.3765908
