G1	G2	G3	G4	G5	G6	G7	G8	G9	G10
0.4825580	0.2401080	0.5620862	0.3613004	0.5350799	0.3873790	0.0200715	0.2714598	0.7435150	0.3707288
0.2079982	0.3811657	0.5991663	0.6949278	0.8074730	0.2301267	0.4969603	0.8256665	0.8241010	0.6359978
0.1127401	0.1878356	0.4299905	0.5040815	0.6165636	0.1181828	0.4407175	0.8058702	0.5851685	0.7400882
0.2916152	0.5544008	0.1363130	0.5822539	0.6268001	0.1235093	0.3061873	0.6368146	0.8385280	0.8597603
0.2932821	0.2855102	0.5183688	0.7007570	0.6727332	0.5190055	0.3135938	0.8524305	0.8528042	0.7482383
0.1161564	0.2597224	0.5172279	0.5646769	0.5236076	0.2676963	0.3759462	0.7916914	0.6486851	0.3412283
0.6166303	0.5008621	0.6541109	0.1666093	0.5079456	0.2117418	0.0887031	0.0369322	0.6297501	0.7298516
0.1015501	0.3039715	0.7348886	0.3590672	0.5387402	0.3626125	0.4978180	0.7072192	0.5565869	0.8774333
0.3492832	0.2949184	0.7641142	0.2466067	0.5790760	0.3617304	0.2790561	0.7229610	0.8755946	0.6587837
0.7442701	0.5792988	0.3732595	0.2612332	0.6674453	0.2452001	0.0415890	0.0743661	0.8194709	0.4400501
