G1	G2	G3	G4	G5	G6	G7	G8	G9	G10
0.0000000	0.0057431	0.7894800	0.5961706	0.4389604	0.7625273	0.0044082	0.6843076	0.7672764	0.7635148
0.8746261	0.0000000	0.7936843	0.6677796	0.3623529	0.8615139	0.0119061	0.7707920	0.7311398	0.7116040
0.6316933	0.0099395	0.0000000	0.8691899	0.0519959	0.7935842	0.0186101	0.8285804	0.9395937	0.7506569
0.7543562	0.4258310	0.5439173	0.0000000	0.2668375	0.4877385	0.3635191	0.5735637	0.7417254	0.8653654
0.7148457	0.0131801	0.4610916	0.7450236	0.0000000	0.7594117	0.0110676	0.6779358	0.7062941	0.7274581
0.8243478	0.0613805	0.8293184	0.8372968	0.0782103	0.0000000	0.0055168	0.7270648	0.8850818	0.7341762
0.9362412	0.1383683	0.6212882	0.7277903	0.0855769	0.9285214	0.0000000	0.7531415	0.7261625	0.7231181
0.7152055	0.2732563	0.8298216	0.6618857	0.1959038	0.7486622	0.0916239	0.0000000	0.7090795	0.6658291
0.8522403	0.5785958	0.7065601	0.6544110	0.2809913	0.4356970	0.3350719	0.3965878	0.0000000	0.6980074
0.9373105	0.1941560	0.6391364	0.6179894	0.1011408	0.9078123	0.0585306	0.8936325	0.5848257	0.0000000
