G1	G2	G3	G4	G5	G6	G7	G8	G9	G10
0.0	0.0	0.0	0.0	0.19935392705941718	-0.3698086170479655	0.5962712518006384	0.0	0.0	0.0
0.0	0.6656465204416001	0.0	0.0	0.0	0.0	0.7738080462507725	-0.5970931723713875	-0.3648770395666361	0.0
0.0	0.0	0.0	0.0	0.26576054120654385	0.0	0.0	-0.632802307838574	0.0	-0.5644075579475611
0.0	0.0	0.0	0.0	0.0	0.0	0.0	-0.19245605124160647	-0.4006891930475831	-0.5707531198859215
0.0	0.3292427998950863	0.0	0.0	0.03909888701731484	0.0	0.0	0.0	0.0	0.0
-0.22912714770063758	0.0	0.0	-0.920481568435207	0.0	0.0	0.020141379215922912	0.0	0.0	-0.5464296583086252
0.0	0.6463878143096501	0.0	-0.7313223534729332	0.0	0.0	0.0	0.0	0.0	0.0
0.0	0.0	0.865060687213234	-0.990960426395759	0.033400008466412834	0.0	0.7325951359301627	0.0	0.0	0.0
0.0	0.0	0.6017556676259557	0.0	0.0	0.0	0.0	0.0	-0.4365797571372241	0.0
-0.10102407773956656	0.0	0.5545049928212831	-0.04644677881151438	0.0	0.0	0.24809087557455595	0.0	0.0	0.0
