"Time"	G1	G2	G3	G4	G5	G6	G7	G8	G9	G10

0	0.4382424	0.2035320	0.6590163	0.2127254	0.7474707	0.7130812	0.3107461	0.6568523	0.7995648	0.6793972
50	0.5719807	0.1656645	0.7402371	0.1522666	0.2646793	0.6826595	0.4047169	0.2845848	0.5822045	0.8710244
100	0.5876589	0.2055553	0.5387271	0.1949618	0.1115222	0.7119301	0.3920124	0.0803036	0.6150574	0.6773954
150	0.6205248	0.2522903	0.4771649	0.1622684	0.0573476	0.7447602	0.4115155	0.0572381	0.5298396	0.6741049
200	0.5531957	0.2275711	0.3303497	0.2360355	0.0457863	0.7341069	0.3577365	0.0800270	0.5015799	0.6972803
250	0.7024734	0.1255901	0.3248667	0.2274112	0.0330597	0.6268703	0.2386637	0.0926741	0.4548301	0.8331989
300	0.7032099	0.2166665	0.2023761	0.1921048	0.0132892	0.6582630	0.2886716	0.0709865	0.4339092	0.6978324
350	0.7869575	0.1552402	0.3220792	0.1912875	0.0184826	0.5967987	0.3092339	0.0581113	0.5274715	0.5885867
400	0.6984401	0.2019523	0.3054568	0.2281926	0.0210340	0.6621282	0.2141885	0.0572279	0.5302911	0.6497066
450	0.7297958	0.1712045	0.3780309	0.2366685	0.0312648	0.7076920	0.2778655	0.0479165	0.4188455	0.8658233
500	0.6983751	0.1841177	0.2626552	0.2900908	0.0205798	0.7251479	0.2318863	0.1010178	0.6262863	0.6727152
550	0.7421658	0.1845240	0.2991116	0.3824507	0.5525186	0.7268895	0.1466090	0.5999388	0.6896343	0.7200607
600	0.6416437	0.1425085	0.5275017	0.2675281	0.8067939	0.5460266	0.2838412	0.7074886	0.6744908	0.6981076
650	0.6319958	0.2464333	0.5975811	0.2333221	0.6547255	0.6497198	0.3097263	0.7416412	0.6449728	0.7295924
700	0.6484377	0.2156054	0.6122089	0.2267050	0.8358072	0.6879349	0.2145827	0.6300518	0.7046228	0.8126129
750	0.5516361	0.1512299	0.6251965	0.1540316	0.7010527	0.6810062	0.2459087	0.7517157	0.7221385	0.7201808
800	0.5048183	0.2330701	0.6984909	0.2674182	0.6791551	0.7728446	0.3324172	0.7523142	0.6911658	0.7297032
850	0.3824728	0.2167839	0.7049135	0.2832069	0.6918083	0.6402292	0.3126982	0.7298812	0.6875064	0.7953827
900	0.5456986	0.2791549	0.6033332	0.2331437	0.7470516	0.8379666	0.3947171	0.7284974	0.8179363	0.7350873
950	0.4576847	0.2071705	0.6194807	0.1920443	0.6459715	0.6884555	0.3566797	0.6488450	0.7401242	0.6833185
1000	0.3895427	0.2445638	0.8142738	0.1917421	0.7841120	0.7377134	0.4522904	0.7327290	0.7737031	0.6670016

0	0.4904587	0.2041780	0.7857769	0.1980117	0.6964974	0.7371810	0.3884864	0.7358431	0.6715815	0.7048999
50	0.4312809	0.1850769	0.6027197	0.1828010	0.5527666	0.8040250	0.2308819	0.5646746	0.7342480	0.6503321
100	0.4121149	0.1910494	0.5886869	0.2144858	0.5828463	0.8894170	0.2181051	0.6213395	0.7262025	0.6912526
150	0.3665229	0.2324089	0.6044299	0.1852293	0.6503825	0.6761690	0.1596128	0.6863584	0.7293686	0.6798235
200	0.4033166	0.2369062	0.6473656	0.1890319	0.7059988	0.6818747	0.2188010	0.7282169	0.7013578	0.7165167
250	0.3799328	0.1663329	0.5864633	0.1933733	0.6159662	0.6531465	0.1461795	0.7394370	0.7577798	0.8765677
300	0.5322229	0.1972462	0.7465945	0.1996796	0.6764968	0.6652963	0.2266301	0.7821980	0.7031355	0.6768657
350	0.5381096	0.1789709	0.5651551	0.1688729	0.7341943	0.5980957	0.2253844	0.6388469	0.6290670	0.6643077
400	0.5629936	0.1543130	0.7327655	0.1952496	0.7850053	0.6017077	0.1434771	0.6551344	0.5759497	0.7444647
450	0.3943982	0.1986808	0.5440838	0.1862649	0.6376516	0.7066857	0.1552604	0.6403635	0.6646482	0.7949122
500	0.4813769	0.1919457	0.7008967	0.1726977	0.7982060	0.6626579	0.1792005	0.7126693	0.6618178	0.7877941
550	0.6345883	0.2214929	0.7656362	0.1983346	0.6532991	0.7768207	0.3159410	0.7992271	0.7362010	0.6579404
600	0.5227809	0.2552030	0.6246244	0.1760551	0.5167647	0.8244591	0.4417805	0.6004379	0.6833204	0.6709870
650	0.5072267	0.1285129	0.5886536	0.1442396	0.6118316	0.6428125	0.3713779	0.6942645	0.7447900	0.6718963
700	0.4024136	0.2040841	0.7489129	0.1610127	0.7117533	0.7006881	0.3250804	0.7476402	0.6753468	0.7217772
750	0.4382976	0.2241365	0.5916274	0.1642877	0.6920001	0.7383400	0.2736979	0.6947117	0.5653393	0.7677713
800	0.4915839	0.2794162	0.5376197	0.1681059	0.7714050	0.7877168	0.3055421	0.7748775	0.7677768	0.6831811
850	0.3647627	0.2999246	0.6548283	0.1491895	0.6028173	0.7206480	0.3092170	0.7364168	0.7518755	0.6436240
900	0.4065287	0.1984308	0.4903176	0.1465470	0.6615895	0.7834535	0.3345477	0.7104522	0.6963442	0.7324698
950	0.5475031	0.2384481	0.6146577	0.2331445	0.7175168	0.8062034	0.3360466	0.7072832	0.7750025	0.6574464
1000	0.4287899	0.2544289	0.6129774	0.1482386	0.7304476	0.6783598	0.2992410	0.6434091	0.6846101	0.7295207

0	0.4910116	0.2245518	0.7096650	0.2099970	0.5826187	0.6197120	0.4404417	0.7470664	0.6595147	0.7681581
50	0.3779784	0.0412334	0.7306125	0.1816005	0.7821624	0.6638542	0.3233140	0.7716174	0.6409757	0.7353885
100	0.4576606	0.0155062	0.5822578	0.1583887	0.7290124	0.6045631	0.3952655	0.6250517	0.7985029	0.5236446
150	0.4494685	0.0130104	0.5752153	0.2270147	0.8232144	0.6598954	0.2503189	0.6839812	0.7275754	0.6248703
200	0.5762420	0.0092436	0.4716885	0.1695269	0.9242077	0.7404670	0.3531458	0.8104282	0.7186177	0.6073202
250	0.5243852	0.0123529	0.6189421	0.1821609	0.7714334	0.7342854	0.2948622	0.7433901	0.7311476	0.6903936
300	0.4409838	0.0476550	0.6464671	0.1705457	0.6218396	0.7848624	0.3043816	0.8750558	0.6914683	0.5847840
350	0.5468768	0.0149460	0.5620206	0.1932968	0.7329736	0.6695062	0.3361694	0.7716596	0.6429163	0.6177615
400	0.5507121	0.0302867	0.5292854	0.2033947	0.6002425	0.6574857	0.3864028	0.6958980	0.7972773	0.5658631
450	0.5780301	0.0378571	0.6022499	0.1719905	0.7405187	0.6868873	0.2992590	0.6158703	0.7681372	0.6780154
500	0.4031774	0.0303483	0.5798784	0.2710377	0.7117388	0.8673161	0.2635048	0.6279819	0.7030038	0.4927393
550	0.4937479	0.1883678	0.6570005	0.2521325	0.6748127	0.7065203	0.3953232	0.8845220	0.5735397	0.7585087
600	0.4274667	0.2105724	0.7555447	0.1586215	0.6245246	0.6839774	0.3773219	0.5841115	0.6867586	0.8319142
650	0.4076945	0.2121181	0.6631329	0.2135352	0.7851264	0.6246936	0.3206003	0.6082163	0.7138524	0.8209139
700	0.5360056	0.2231610	0.7632645	0.1813004	0.6214996	0.7039291	0.4549089	0.8424426	0.6349357	0.8687324
750	0.4739401	0.1695093	0.7217525	0.1788864	0.6896611	0.8375098	0.3089962	0.6719455	0.7173326	0.6718061
800	0.5258262	0.3247015	0.5995205	0.2184656	0.8439279	0.7395920	0.3920409	0.6585416	0.6905090	0.6711316
850	0.3781696	0.1766990	0.6586002	0.1866118	0.7285248	0.6390899	0.3389812	0.6297697	0.5834400	0.8046556
900	0.5180073	0.1768189	0.6423674	0.1321814	0.6751777	0.6511425	0.3846592	0.6532443	0.8289817	0.8976053
950	0.5097843	0.3009686	0.7660072	0.1152422	0.8191409	0.6837717	0.3262567	0.7331523	0.6584660	0.7900912
1000	0.4075764	0.2839710	0.5778383	0.1339478	0.8038255	0.6382513	0.3319271	0.6785798	0.7134103	0.7364330

0	0.4766125	0.2489454	0.8000207	0.1634380	0.7111116	0.6589687	0.3659412	0.6775849	0.6093866	0.7097041
50	0.3989273	0.2856997	0.6427832	0.0337682	0.5779082	0.7082642	0.3333461	0.8840157	0.6499169	0.7259855
100	0.3580416	0.2176883	0.7054314	0.0046402	0.5139317	0.7561025	0.3306854	0.6879052	0.4992809	0.7743161
150	0.2945904	0.2653444	0.6595505	0.0075024	0.4241630	0.6490688	0.3884425	0.7414850	0.5342170	0.6553900
200	0.1807255	0.2824261	0.5832645	0.0057391	0.4426839	0.8205704	0.3407758	0.6852550	0.5445804	0.7444950
250	0.1686452	0.3245935	0.6065594	0.0046123	0.5559741	0.6837831	0.2948665	0.6923360	0.4749556	0.7133005
300	0.0832487	0.5343063	0.4931296	0.0066684	0.4753732	0.7963740	0.3025185	0.7602286	0.4936510	0.6847055
350	0.1204090	0.5180962	0.3937292	0.0034563	0.5110831	0.6219147	0.3146654	0.6787429	0.3615846	0.8086673
400	0.1553480	0.4866384	0.2913998	0.0113701	0.5497069	0.7061776	0.3292902	0.5852118	0.3317471	0.8904048
450	0.1189817	0.5436692	0.2448218	0.0370621	0.5680694	0.6773411	0.3114440	0.7057590	0.2980051	0.8579477
500	0.2484461	0.5189352	0.2804419	0.0376669	0.4552566	0.7249621	0.3141811	0.6727714	0.3548817	0.7161641
550	0.3700421	0.3313505	0.2764652	0.3076871	0.6223275	0.7358280	0.3519733	0.7377569	0.4338404	0.7967407
600	0.3728728	0.2352780	0.2601055	0.2668913	0.8413212	0.6608631	0.3545995	0.7679855	0.5586133	0.7274472
650	0.4245317	0.2786043	0.3838574	0.2965667	0.7611026	0.6272033	0.2568772	0.8251248	0.4896216	0.7833539
700	0.4680153	0.1880072	0.5778291	0.2510365	0.7290485	0.6945182	0.4534726	0.7317991	0.6512392	0.6721838
750	0.4841063	0.2474391	0.6137670	0.1710511	0.6228365	0.8201769	0.3433541	0.7056207	0.6983576	0.6525607
800	0.5144031	0.3023368	0.6759191	0.2081263	0.7902229	0.9141081	0.3868641	0.7239536	0.6882435	0.7470904
850	0.5264419	0.2296143	0.6374836	0.1306053	0.8773463	0.8335159	0.3205332	0.7637931	0.5953447	0.8356294
900	0.4479094	0.1560444	0.7043312	0.2429314	0.6227981	0.4902003	0.4077139	0.6655893	0.6384633	0.7330142
