"Time"	G1	G2	G3	G4	G5	G6	G7	G8	G9	G10

0	0.7578835	0.0856361	0.5267663	0.7860177	0.1230547	0.3034417	0.5533503	0.7183476	0.6781492	0.8532712
50	0.7872363	0.0353944	0.2815389	0.6481045	0.1002029	0.2272629	0.4798309	0.6831383	0.7815884	0.7640031
100	0.8564977	0.0035311	0.3668784	0.7948606	0.1590596	0.0960627	0.6119213	0.7330157	0.7764090	0.7138942
150	0.6016142	0.0006331	0.2860891	0.5907524	0.1309728	0.1605845	0.4615561	0.6815069	0.6070767	0.6175760
200	0.6254736	0.0000013	0.4195326	0.6055107	0.1259918	0.0982906	0.5459567	0.5742316	0.7898818	0.6221233
250	0.6562775	0.0000000	0.3784441	0.7115697	0.1718873	0.0904083	0.5853016	0.7624803	0.5650277	0.6183936
300	0.6892324	0.0005392	0.3569578	0.6203357	0.1386398	0.0956643	0.5857766	0.6799500	0.6890725	0.6346552
350	0.6763645	0.0003668	0.3980187	0.5964324	0.1618275	0.1101393	0.5301316	0.4818946	0.6688842	0.7742321
400	0.7587515	0.0000000	0.2872230	0.6502340	0.1681652	0.0851351	0.5809182	0.7218821	0.6235024	0.6285213
450	0.8114502	0.0010003	0.3865714	0.8174670	0.1173628	0.1005000	0.5788253	0.6270066	0.6799839	0.5851622
500	0.6964326	0.0018355	0.4046678	0.6337625	0.1153396	0.1477479	0.4567563	0.8620801	0.7351638	0.5873540
550	0.7144620	0.0671341	0.3075909	0.6323223	0.1434872	0.2705986	0.5346078	0.8169708	0.7648423	0.7232506
600	0.7826748	0.0972673	0.3936545	0.5241346	0.1299831	0.2347268	0.3895824	0.8039042	0.8818000	0.7330038
650	0.6894455	0.1159520	0.3192444	0.6365596	0.1535083	0.3674561	0.5811496	0.7387140	0.8487769	0.8025569
700	0.8184477	0.0663867	0.3669428	0.6957242	0.1375382	0.3123667	0.5671341	0.7255201	0.8203858	0.6491717
750	0.7805037	0.0940383	0.3166676	0.5763515	0.1650953	0.3267893	0.5980867	0.7165828	0.7093458	0.7140265
800	0.6064653	0.0912748	0.2967771	0.7018917	0.1796942	0.2988982	0.4559686	0.8441482	0.7446070	0.6527152
850	0.6952352	0.0738672	0.3415248	0.6856092	0.1294893	0.3884251	0.5640281	0.7947007	0.6504338	0.6857974
900	0.6173689	0.0599259	0.2955894	0.5897095	0.1496985	0.4098419	0.6109644	0.7668569	0.6270759	0.7536072
950	0.6966572	0.1462062	0.3214084	0.6711435	0.1005994	0.2884473	0.6234543	0.7655245	0.7832027	0.6597250
1000	0.6765536	0.0806293	0.3418733	0.7675706	0.1347677	0.2935768	0.4067873	0.8079958	0.6482177	0.6149374

0	0.6580313	0.1046361	0.4060305	0.7383747	0.1349312	0.4010992	0.5947120	0.6508550	0.6774926	0.7156388
50	0.7629393	0.0867336	0.5110115	0.5908290	0.1275668	0.2782694	0.5609883	0.6859057	0.4300539	0.8307554
100	0.8771246	0.1423750	0.4594407	0.6549338	0.1103840	0.2228447	0.4835292	0.7659264	0.3056242	0.8082637
150	0.6873291	0.0918490	0.3774299	0.7060115	0.0919621	0.1284851	0.5326978	0.8033124	0.2467289	0.7554188
200	0.6616631	0.0982317	0.2899360	0.7083411	0.0908154	0.1130751	0.5898774	0.6828787	0.2622044	0.6291408
250	0.6088585	0.1110336	0.3433384	0.7042522	0.1135640	0.1680407	0.4783475	0.6615010	0.2077956	0.5959367
300	0.7029695	0.0771022	0.3105296	0.7680569	0.1511838	0.2075477	0.5372570	0.6789653	0.3113912	0.6890734
350	0.6165131	0.0947686	0.3895546	0.6892668	0.1534897	0.1958036	0.4636205	0.7253874	0.2285694	0.5783007
400	0.6267140	0.0665469	0.3737365	0.5425723	0.1492811	0.2787653	0.6135905	0.6681056	0.1329987	0.5609409
450	0.6643809	0.0949272	0.4654413	0.5987269	0.1216091	0.2376389	0.6107355	0.6800603	0.1799610	0.5827144
500	0.6226654	0.1516470	0.3723939	0.6667251	0.1528135	0.2377673	0.3760617	0.6428607	0.1466237	0.4256562
550	0.5861948	0.1009428	0.2517060	0.5604050	0.1716021	0.3013226	0.3924226	0.7224081	0.4175213	0.5577158
600	0.6692455	0.1007825	0.3165108	0.6101587	0.1393776	0.2795193	0.5585661	0.6935570	0.6092651	0.6023427
650	0.5662709	0.0844465	0.4705111	0.7294654	0.1596946	0.2804177	0.4867807	0.7524322	0.6092248	0.7226817
700	0.6796244	0.1124687	0.3668540	0.5722788	0.0887207	0.3565046	0.4123267	0.7386681	0.7121371	0.5649288
750	0.6194363	0.1006834	0.3094066	0.6184810	0.1003179	0.3734198	0.3130588	0.6986075	0.6335978	0.7301199
800	0.7485477	0.0833352	0.3568849	0.6540768	0.1240442	0.3070896	0.4018320	0.7519099	0.7489655	0.7491036
850	0.6572259	0.0961784	0.2739886	0.6827056	0.1270053	0.3714388	0.6176813	0.6084477	0.5983724	0.6820027
900	0.6861405	0.1005235	0.3314280	0.7968558	0.1532840	0.3885708	0.5520531	0.6891802	0.6085600	0.7111208
950	0.7201259	0.0904481	0.3468534	0.7923655	0.1170295	0.3147343	0.3973048	0.6057164	0.6619852	0.6793900
1000	0.7098042	0.0585774	0.3867849	0.5941152	0.1170292	0.3866770	0.5214098	0.6817320	0.5720472	0.6797588

0	0.7874630	0.0913390	0.4212182	0.6343179	0.1753801	0.3235736	0.5508377	0.7319763	0.7015503	0.7991018
50	0.3667086	0.1835075	0.2633113	0.6793699	0.0820424	0.2603639	0.5946161	0.3286888	0.6818974	0.7336845
100	0.2718509	0.1858828	0.2809423	0.7134882	0.1868471	0.2721074	0.6547059	0.2524827	0.5835756	0.6338640
150	0.3368002	0.1584603	0.4933928	0.5639990	0.2021665	0.2270738	0.5491374	0.2468916	0.6431444	0.7637246
200	0.3092944	0.2195023	0.3087990	0.5340820	0.1934918	0.2749368	0.5034016	0.2752921	0.7303095	0.7556735
