G1	G2	G3	G4	G5	G6	G7	G8	G9	G10
0.0000000	0.5984691	0.6518119	0.1519072	0.0653318	0.0674941	0.0219048	0.3980682	0.1140660	0.9031904
0.7854151	0.0000000	0.6420524	0.0887562	0.0594832	0.0617934	0.0313465	0.6427700	0.0988936	0.7565562
0.8932053	0.6547029	0.0000000	0.8281232	0.0677023	0.1014962	0.0246820	0.6388782	0.2338966	0.7281649
0.8204964	0.7112136	0.6351208	0.0000000	0.0699373	0.1019308	0.0419239	0.5758058	0.2455592	0.7732673
0.6150750	0.6738377	0.5580441	0.1405648	0.0000000	0.0475734	0.0359675	0.6190789	0.3154339	0.7331549
0.3163095	0.8494810	0.4488224	0.1432874	0.0555579	0.0000000	0.0616686	0.8241698	0.6305480	0.7559620
0.8094821	0.6806501	0.5292595	0.1707446	0.0563905	0.0809492	0.0000000	0.4984590	0.1610917	0.7893090
0.2714534	0.5074759	0.5426026	0.2276173	0.8425384	0.8452742	0.7354568	0.0000000	0.7105187	0.9249029
0.7417470	0.6418722	0.5841420	0.2437114	0.0383820	0.0640324	0.0379652	0.4688932	0.0000000	0.6950608
0.7592950	0.6750664	0.0494418	0.7230370	0.0649768	0.0353536	0.0047056	0.5278419	0.3064562	0.0000000
