G1	G2	G3	G4	G5	G6	G7	G8	G9	G10
0.6826504	0.0240593	0.3642025	0.7061045	0.0552152	0.2773292	0.3402937	0.7314825	0.4185450	0.7585123
0.7389344	0.0440637	0.4200189	0.7196638	0.1565303	0.2685264	0.5373650	0.7425636	0.7557897	0.6115777
0.6271372	0.1368582	0.4648589	0.6490018	0.0949229	0.3766139	0.2718071	0.6000543	0.6509223	0.7692802
0.2000580	0.0977770	0.4395346	0.5538207	0.5070567	0.2624879	0.2986673	0.6921639	0.7158731	0.5823441
0.8133484	0.0000002	0.3594695	0.5259726	0.1097055	0.4130322	0.3955160	0.7153638	0.6417641	0.7753251
0.5203541	0.1468808	0.4019891	0.5427897	0.0938827	0.3798754	0.4906020	0.6415922	0.6993200	0.6329558
0.7559187	0.0628526	0.3229296	0.5085601	0.0835534	0.3096129	0.4381363	0.6528846	0.2988321	0.6893573
0.5006621	0.1081670	0.4542432	0.5873753	0.0980538	0.4510456	0.4799125	0.7915830	0.5704832	0.5467958
0.6084874	0.0662891	0.3404740	0.7054035	0.1220321	0.3613420	0.5794479	0.7421117	0.7420422	0.6111904
0.3760055	0.1110743	0.2798702	0.5998198	0.3156690	0.2405728	0.6848034	0.5609558	0.7514737	0.5530076
